x,t=2.00e+07s,t=3.98e+08s,t=7.77e+08s,t=1.16e+09s
9.009009009009009698e-07,1.299446391304689254e+24,6.133015008419514082e+23,3.095522691792518135e+23,1.552872840798102199e+23
9.209209209209209208e-07,1.299452137380050639e+24,6.149201692086309529e+23,3.107158826772166533e+23,1.560385256940541418e+23
9.409409409409409776e-07,1.299457721372032308e+24,6.164566547053100296e+23,3.118163986014255500e+23,1.567481956944698566e+23
9.609609609609610345e-07,1.299463150024768270e+24,6.179160984004848056e+23,3.128577994249613062e+23,1.574188222084921950e+23
9.809809809809810913e-07,1.299468429707359751e+24,6.193032616754881191e+23,3.138437911283364874e+23,1.580527776452684452e+23
1.001001001001000936e-06,1.299473566439762834e+24,6.206225586471377358e+23,3.147778236145987989e+23,1.586522875156662898e+23
1.021021021021020993e-06,1.299478565916533997e+24,6.218780854253307287e+23,3.156631095581770472e+23,1.592194388981206189e+23
1.041041041041041050e-06,1.299483433528671362e+24,6.230736465553949752e+23,3.165026418095465641e+23,1.597561885408005645e+23
1.061061061061061107e-06,1.299488174383691249e+24,6.242127789517361633e+23,3.172992094685071126e+23,1.602643705955919730e+23
1.081081081081081164e-06,1.299492793324148347e+24,6.252987735919377210e+23,3.180554127301904653e+23,1.607457039835226618e+23
1.101101101101101221e-06,1.299497294944698810e+24,6.263346952081703772e+23,3.187736765998121836e+23,1.612017993946223723e+23
1.121121121121121066e-06,1.299501683607862793e+24,6.273234001847127995e+23,3.194562635646937197e+23,1.616341659279252311e+23
1.141141141141141123e-06,1.299505963458596730e+24,6.282675528460328281e+23,3.201052853051157350e+23,1.620442173794975943e+23
1.161161161161161179e-06,1.299510138437767191e+24,6.291696402986356462e+23,3.207227135191267095e+23,1.624332781880500269e+23
1.181181181181181236e-06,1.299514212294644403e+24,6.300319859714145869e+23,3.213103899304917236e+23,1.628025890490064621e+23
1.201201201201201293e-06,1.299518188598471279e+24,6.308567619829951009e+23,3.218700355434838260e+23,1.631533122088479092e+23
1.221221221221221350e-06,1.299522070749209699e+24,6.316460004504224357e+23,3.224032592031633533e+23,1.634865364522293652e+23
1.241241241241241195e-06,1.299525861987518786e+24,6.324016038410649537e+23,3.229115655151351528e+23,1.638032817948077830e+23
1.261261261261261252e-06,1.299529565404031774e+24,6.331253544586613034e+23,3.233963621744866157e+23,1.641045038949545636e+23
1.281281281281281309e-06,1.299533183947992379e+24,6.338189231448126264e+23,3.238589667496646966e+23,1.643910981976107369e+23
1.301301301301301366e-06,1.299536720435300077e+24,6.344838772686749350e+23,3.243006129634185052e+23,1.646639038234815847e+23
1.321321321321321422e-06,1.299540177555993280e+24,6.351216880701131498e+23,3.247224565095965257e+23,1.649237072166058669e+23
1.341341341341341268e-06,1.299543557881261407e+24,6.357337374148915647e+23,3.251255804415150098e+23,1.651712455630813712e+23
1.361361361361361324e-06,1.299546863869958203e+24,6.363213240145817308e+23,3.255110001647882695e+23,1.654072099934110849e+23
1.381381381381381381e-06,1.299550097874722067e+24,6.368856691586020535e+23,3.258796680649176347e+23,1.656322485805557911e+23
1.401401401401401438e-06,1.299553262147666344e+24,6.374279220011484536e+23,3.262324777975433449e+23,1.658469691453691585e+23
1.421421421421421495e-06,1.299556358845730858e+24,6.379491644415965754e+23,3.265702682670679751e+23,1.660519418806450887e+23
1.441441441441441552e-06,1.299559390035682594e+24,6.384504156332600727e+23,3.268938273173418321e+23,1.662477018045490984e+23
1.461461461461461397e-06,1.299562357698802047e+24,6.389326361520411718e+23,3.272038951562363368e+23,1.664347510537243769e+23
1.481481481481481454e-06,1.299565263735282068e+24,6.393967318535785310e+23,3.275011675342283232e+23,1.666135610258914521e+23
1.501501501501501511e-06,1.299568109968359093e+24,6.398435574447961486e+23,3.277862986955443436e+23,1.667845743812740603e+23
1.521521521521521567e-06,1.299570898148185854e+24,6.402739197933935007e+23,3.280599041189598902e+23,1.669482069117109650e+23
1.541541541541541624e-06,1.299573629955471906e+24,6.406885809966721511e+23,3.283225630640333767e+23,1.671048492858494796e+23
1.561561561561561681e-06,1.299576307004923628e+24,6.410882612291323549e+23,3.285748209373052246e+23,1.672548686783521573e+23
1.581581581581581526e-06,1.299578930848450409e+24,6.414736413865926334e+23,3.288171914918946983e+23,1.673986102906130425e+23
1.601601601601601583e-06,1.299581502978217036e+24,6.418453655429474398e+23,3.290501588728601693e+23,1.675363987700428686e+23
1.621621621621621640e-06,1.299584024829498768e+24,6.422040432343322366e+23,3.292741795197548054e+23,1.676685395345755330e+23
1.641641641641641697e-06,1.299586497783372672e+24,6.425502515841284922e+23,3.294896839369171979e+23,1.677953200086462046e+23
1.661661661661661754e-06,1.299588923169274472e+24,6.428845372811253572e+23,3.296970783412316054e+23,1.679170107765163410e+23
1.681681681681681810e-06,1.299591302267389767e+24,6.432074184220861352e+23,3.298967461963480527e+23,1.680338666584548867e+23
1.701701701701701655e-06,1.299593636310925808e+24,6.435193862290235793e+23,3.300890496416553967e+23,1.681461277149437708e+23
1.721721721721721712e-06,1.299595926488259511e+24,6.438209066506295852e+23,3.302743308236837418e+23,1.682540201837443427e+23
1.741741741741741769e-06,1.299598173944955022e+24,6.441124218565133725e+23,3.304529131370132359e+23,1.683577573543592560e+23
1.761761761761761826e-06,1.299600379785687056e+24,6.443943516322014933e+23,3.306251023812357846e+23,1.684575403841199433e+23
1.781781781781781883e-06,1.299602545076052838e+24,6.446670946821965506e+23,3.307911878400251852e+23,1.685535590598647061e+23
1.801801801801801940e-06,1.299604670844287939e+24,6.449310298478056456e+23,3.309514432879041698e+23,1.686459925089045153e+23
1.821821821821821785e-06,1.299606758082900514e+24,6.451865172459116298e+23,3.311061279298817140e+23,1.687350098627298108e+23
1.841841841841841842e-06,1.299608807750207288e+24,6.454338993343732981e+23,3.312554872787507746e+23,1.688207708766819068e+23
1.861861861861861898e-06,1.299610820771796530e+24,6.456735019092692812e+23,3.313997539744618832e+23,1.689034265085955476e+23
1.881881881881881955e-06,1.299612798041920698e+24,6.459056350388436504e+23,3.315391485496800617e+23,1.689831194592158857e+23
1.901901901901902012e-06,1.299614740424812036e+24,6.461305939385695338e+23,3.316738801453081203e+23,1.690599846770017923e+23
1.921921921921922069e-06,1.299616648755930804e+24,6.463486597914543155e+23,3.318041471794888825e+23,1.691341498297511827e+23
1.941941941941942126e-06,1.299618523843160619e+24,6.465601005173819604e+23,3.319301379733365551e+23,1.692057357453156973e+23
1.961961961961962183e-06,1.299620366467929710e+24,6.467651714949827978e+23,3.320520313364070741e+23,1.692748568235171906e+23
1.981981981981981816e-06,1.299622177386294592e+24,6.469641162392910451e+23,3.321699971146972093e+23,1.693416214212314116e+23
2.002002002002001873e-06,1.299623957329952603e+24,6.471571670381691698e+23,3.322841967037571274e+23,1.694061322124720897e+23
2.022022022022021930e-06,1.299625707007223041e+24,6.473445455502913537e+23,3.323947835293123981e+23,1.694684865251750906e+23
2.042042042042041987e-06,1.299627427103971916e+24,6.475264633672441172e+23,3.325019034976176224e+23,1.695287766562736272e+23
2.062062062062062043e-06,1.299629118284488667e+24,6.477031225421388138e+23,3.326056954176021914e+23,1.695870901665343084e+23
2.082082082082082100e-06,1.299630781192330656e+24,6.478747160869344840e+23,3.327062913967200403e+23,1.696435101565327466e+23
2.102102102102102157e-06,1.299632416451127404e+24,6.480414284405315763e+23,3.328038172122784287e+23,1.696981155250406016e+23
2.122122122122122214e-06,1.299634024665341602e+24,6.482034359095303497e+23,3.328983926598900457e+23,1.697509812110165876e+23
2.142142142142142271e-06,1.299635606420996036e+24,6.483609070834275100e+23,3.329901318805818138e+23,1.698021784203044774e+23
2.162162162162162328e-06,1.299637162286373935e+24,6.485140032258935011e+23,3.330791436679754453e+23,1.698517748380675196e+23
2.182182182182182384e-06,1.299638692812680665e+24,6.486628786436483223e+23,3.331655317568655574e+23,1.698998348279167792e+23
2.202202202202202441e-06,1.299640198534681260e+24,6.488076810343757560e+23,3.332493950944148455e+23,1.699464196186225267e+23
2.222222222222222075e-06,1.299641679971299040e+24,6.489485518149710753e+23,3.333308280951127377e+23,1.699915874792369323e+23
2.242242242242242131e-06,1.299643137626203476e+24,6.490856264313756902e+23,3.334099208805518085e+23,1.700353938834004891e+23
2.262262262262262188e-06,1.299644571988359951e+24,6.492190346511342130e+23,3.334867595050119437e+23,1.700778916635465734e+23
2.282282282282282245e-06,1.299645983532560727e+24,6.493489008397425867e+23,3.335614261677701034e+23,1.701191311556753962e+23
2.302302302302302302e-06,1.299647372719926914e+24,6.494753442217841100e+23,3.336339994129845432e+23,1.701591603353134752e+23
2.322322322322322359e-06,1.299648739998401319e+24,6.495984791277833531e+23,3.337045543179530283e+23,1.701980249452428415e+23
2.342342342342342416e-06,1.299650085803209355e+24,6.497184152276455496e+23,3.337731626704867290e+23,1.702357686155329604e+23
2.362362362362362473e-06,1.299651410557301416e+24,6.498352577514851585e+23,3.338398931360829638e+23,1.702724329763798233e+23
2.382382382382382529e-06,1.299652714671778617e+24,6.499491076986055510e+23,3.339048114155470769e+23,1.703080577642190204e+23
2.402402402402402586e-06,1.299653998546304845e+24,6.500600620353332571e+23,3.339679803936555506e+23,1.703426809215445725e+23
2.422422422422422643e-06,1.299655262569496794e+24,6.501682138823665868e+23,3.340294602794267511e+23,1.703763386908437916e+23
2.442442442442442700e-06,1.299656507119296018e+24,6.502736526922575029e+23,3.340893087385128932e+23,1.704090657030198190e+23
2.462462462462462333e-06,1.299657732563330778e+24,6.503764644176010643e+23,3.341475810182041237e+23,1.704408950606580228e+23
2.482482482482482390e-06,1.299658939259262597e+24,6.504767316704746778e+23,3.342043300654972393e+23,1.704718584164618978e+23
2.502502502502502447e-06,1.299660127555114018e+24,6.505745338736392012e+23,3.342596066386530334e+23,1.705019860471650577e+23
2.522522522522522504e-06,1.299661297789590724e+24,6.506699474039587723e+23,3.343134594126372730e+23,1.705313069232029864e+23
2.542542542542542561e-06,1.299662450292382727e+24,6.507630457285052360e+23,3.343659350788165536e+23,1.705598487744127833e+23
2.562562562562562617e-06,1.299663585384456423e+24,6.508538995337457943e+23,3.344170784392525612e+23,1.705876381520074281e+23
2.582582582582582674e-06,1.299664703378346381e+24,6.509425768482173385e+23,3.344669324959188108e+23,1.706147004870549811e+23
2.602602602602602731e-06,1.299665804578413043e+24,6.510291431590350878e+23,3.345155385351440653e+23,1.706410601456823687e+23
2.622622622622622788e-06,1.299666889281110888e+24,6.511136615226094639e+23,3.345629362075591927e+23,1.706667404812006164e+23
2.642642642642642845e-06,1.299667957775235130e+24,6.511961926698593681e+23,3.346091636038204591e+23,1.706917638833456756e+23
2.662662662662662902e-06,1.299669010342164107e+24,6.512767951062474728e+23,3.346542573263476962e+23,1.707161518248042273e+23
2.682682682682682535e-06,1.299670047256091753e+24,6.513555252069168337e+23,3.346982525573151106e+23,1.707399249051950871e+23
2.702702702702702592e-06,1.299671068784246101e+24,6.514324373071921592e+23,3.347411831231125012e+23,1.707631028926573728e+23
2.722722722722722649e-06,1.299672075187108866e+24,6.515075837887002129e+23,3.347830815554742539e+23,1.707857047631866007e+23
2.742742742742742706e-06,1.299673066718614887e+24,6.515810151613469148e+23,3.348239791494711980e+23,1.708077487378580929e+23
2.762762762762762762e-06,1.299674043626360440e+24,6.516527801413711241e+23,3.348639060185479947e+23,1.708292523180597015e+23
2.782782782782782819e-06,1.299675006151785231e+24,6.517229257256817991e+23,3.349028911467636300e+23,1.708502323188524971e+23
2.802802802802802876e-06,1.299675954530363529e+24,6.517914972626872424e+23,3.349409624383996958e+23,1.708707049005710584e+23
