x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.119999999999999970e-07,5.299200798950926720e+17,7.149335067994233600e+17,8.653482800956300800e+17,8.838567789689397760e+17
1.189999999999999936e-07,5.620461434896468480e+17,7.586103635245728000e+17,9.184173198133998080e+17,9.380815322127362560e+17
1.259999999999999901e-07,5.940640598849623040e+17,8.021767937367060480e+17,9.713743442182547200e+17,9.921940760650263040e+17
1.329999999999999866e-07,6.259740677068485120e+17,8.456329025014794240e+17,1.024219365020704256e+18,1.046194410831765120e+18
1.399999999999999831e-07,6.577764054751891200e+17,8.889787948647031040e+17,1.076952393929172864e+18,1.100082536818852736e+18
1.470000000000000061e-07,6.894713115985807360e+17,9.322145758512399360e+17,1.129573442649892608e+18,1.153858454332133376e+18
1.540000000000000026e-07,7.210590243690086400e+17,9.753403504639047680e+17,1.182082522886776576e+18,1.207522163677389824e+18
1.609999999999999991e-07,7.525397819565835520e+17,1.018356223682363008e+18,1.234479646341311488e+18,1.261073665160339968e+18
1.679999999999999956e-07,7.839138224043191040e+17,1.061262300462035328e+18,1.286764824712437504e+18,1.314512959086637568e+18
1.749999999999999921e-07,8.151813836229626880e+17,1.104058685732994944e+18,1.338938069696438272e+18,1.367840045761865472e+18
1.819999999999999886e-07,8.463427033858688000e+17,1.146745484398869632e+18,1.390999392986816768e+18,1.421054925491534592e+18
1.889999999999999851e-07,8.773980193239240960e+17,1.189322801335745792e+18,1.442948806274190080e+18,1.474157598581080064e+18
1.960000000000000081e-07,9.083475689205189120e+17,1.231790741391067136e+18,1.494786321246165760e+18,1.527148065335859200e+18
2.030000000000000046e-07,9.391915895065615360e+17,1.274149409382541568e+18,1.546511949587231488e+18,1.580026326061147904e+18
2.100000000000000011e-07,9.699303182555473920e+17,1.316398910097040384e+18,1.598125702978635520e+18,1.632792381062134272e+18
2.169999999999999976e-07,1.000563992178661632e+18,1.358539348289502720e+18,1.649627593098276352e+18,1.685446230643922944e+18
2.239999999999999941e-07,1.031092848119943296e+18,1.400570828681845248e+18,1.701017631620583424e+18,1.737987875111526400e+18
2.309999999999999906e-07,1.061517122751481600e+18,1.442493455961856768e+18,1.752295830216403968e+18,1.790417314769862912e+18
2.379999999999999871e-07,1.091837052568660224e+18,1.484307334782113024e+18,1.803462200552887552e+18,1.842734549923754240e+18
2.449999999999999836e-07,1.122052873885453312e+18,1.526012569758878720e+18,1.854516754293369344e+18,1.894939580877924352e+18
2.519999999999999801e-07,1.152164822829758208e+18,1.567609265471012864e+18,1.905459503097258496e+18,1.947032407936992768e+18
2.589999999999999766e-07,1.182173135338775296e+18,1.609097526458877696e+18,1.956290458619918080e+18,1.999013031405472768e+18
2.659999999999999731e-07,1.212078047154430976e+18,1.650477457223244544e+18,2.007009632512554240e+18,2.050881451587771136e+18
2.729999999999999696e-07,1.241879793818844928e+18,1.691749162224204800e+18,2.057617036422100736e+18,2.102637668788182016e+18
2.799999999999999662e-07,1.271578610669838080e+18,1.732912745880079104e+18,2.108112681991099648e+18,2.154281683310882560e+18
2.870000000000000156e-07,1.301174732836488704e+18,1.773968312566321408e+18,2.158496580857595392e+18,2.205813495459937536e+18
2.940000000000000121e-07,1.330668395234725888e+18,1.814915966614436608e+18,2.208768744655009792e+18,2.257233105539287808e+18
3.010000000000000086e-07,1.360059832562961408e+18,1.855755812310886400e+18,2.258929185012030720e+18,2.308540513852747776e+18
3.080000000000000051e-07,1.389349279297780480e+18,1.896487953896004864e+18,2.308977913552505344e+18,2.359735720704011776e+18
3.150000000000000016e-07,1.418536969689650176e+18,1.937112495562908416e+18,2.358914941895307776e+18,2.410818726396637696e+18
3.219999999999999981e-07,1.447623137758690816e+18,1.977629541456408064e+18,2.408740281654245376e+18,2.461789531234055168e+18
3.289999999999999946e-07,1.476608017290469376e+18,2.018039195671931648e+18,2.458453944437927424e+18,2.512648135519561216e+18
3.359999999999999911e-07,1.505491841831853568e+18,2.058341562254422016e+18,2.508055941849658880e+18,2.563394539556301312e+18
3.429999999999999877e-07,1.534274844686885888e+18,2.098536745197273088e+18,2.557546285487325184e+18,2.614028743647298048e+18
3.499999999999999842e-07,1.562957258912712192e+18,2.138624848441229824e+18,2.606924986943273472e+18,2.664550748095410176e+18
3.569999999999999807e-07,1.591539317315545344e+18,2.178605975873316608e+18,2.656192057804203008e+18,2.714960553203366400e+18
3.639999999999999772e-07,1.620021252446664704e+18,2.218480231325747712e+18,2.705347509651052032e+18,2.765258159273729024e+18
3.709999999999999737e-07,1.648403296598461440e+18,2.258247718574849792e+18,2.754391354058871296e+18,2.815443566608920064e+18
3.779999999999999702e-07,1.676685681800517120e+18,2.297908541339983616e+18,2.803323602596730368e+18,2.865516775511195136e+18
3.849999999999999667e-07,1.704868639815721984e+18,2.337462803282460672e+18,2.852144266827582976e+18,2.915477786282656768e+18
3.920000000000000161e-07,1.732952402136437248e+18,2.376910608004470784e+18,2.900853358308166656e+18,2.965326599225242624e+18
3.990000000000000126e-07,1.760937199980684032e+18,2.416252059047995904e+18,2.949450888588884480e+18,3.015063214640724992e+18
4.060000000000000092e-07,1.788823264288380160e+18,2.455487259893743104e+18,2.997936869213687296e+18,3.064687632830703616e+18
4.130000000000000057e-07,1.816610825717609472e+18,2.494616313960066048e+18,3.046311311719962112e+18,3.114199854096616448e+18
4.200000000000000022e-07,1.844300114640930816e+18,2.533639324601887232e+18,3.094574227638425600e+18,3.163599878739714048e+18
4.269999999999999987e-07,1.871891361141718016e+18,2.572556395109628416e+18,3.142725628492995584e+18,3.212887707061086208e+18
4.339999999999999952e-07,1.899384795010546944e+18,2.611367628708136448e+18,3.190765525800694784e+18,3.262063339361623040e+18
4.409999999999999917e-07,1.926780645741607680e+18,2.650073128555614208e+18,3.238693931071519744e+18,3.311126775942049792e+18
4.479999999999999882e-07,1.954079142529156608e+18,2.688672997742548992e+18,3.286510855808338432e+18,3.360078017102889984e+18
4.549999999999999847e-07,1.981280514264012288e+18,2.727167339290641408e+18,3.334216311506773504e+18,3.408917063144486912e+18
4.619999999999999812e-07,2.008384989530068992e+18,2.765556256151738880e+18,3.381810309655091712e+18,3.457643914366991872e+18
4.689999999999999777e-07,2.035392796600866048e+18,2.803839851206773248e+18,3.429292861734082048e+18,3.506258571070353408e+18
4.759999999999999742e-07,2.062304163436174080e+18,2.842018227264684032e+18,3.476663979216955392e+18,3.554761033554331136e+18
4.829999999999999707e-07,2.089119317678628608e+18,2.880091487061365248e+18,3.523923673569215488e+18,3.603151302118476288e+18
4.899999999999999672e-07,2.115838486650392064e+18,2.918059733258594816e+18,3.571071956248561152e+18,3.651429377062138880e+18
4.969999999999999637e-07,2.142461897349848320e+18,2.955923068442971648e+18,3.618108838704765952e+18,3.699595258684467712e+18
5.039999999999999603e-07,2.168989776448336128e+18,2.993681595124864000e+18,3.665034332379560960e+18,3.747648947284388352e+18
5.109999999999999568e-07,2.195422350286913792e+18,3.031335415737331200e+18,3.711848448706531840e+18,3.795590443160624640e+18
5.179999999999999533e-07,2.221759844873157376e+18,3.068884632635085312e+18,3.758551199110998528e+18,3.843419746611680256e+18
5.249999999999999498e-07,2.248002485877985024e+18,3.106329348093414912e+18,3.805142595009903104e+18,3.891136857935841280e+18
5.319999999999999463e-07,2.274150498632531456e+18,3.143669664307151360e+18,3.851622647811697664e+18,3.938741777431171072e+18
5.389999999999999428e-07,2.300204108125036032e+18,3.180905683389580288e+18,3.897991368916242944e+18,3.986234505395505664e+18
5.459999999999999393e-07,2.326163538997773312e+18,3.218037507371424256e+18,3.944248769714665984e+18,4.033615042126461440e+18
5.529999999999999358e-07,2.352029015544013312e+18,3.255065238199763968e+18,3.990394861589290496e+18,4.080883387921414656e+18
5.599999999999999323e-07,2.377800761705015808e+18,3.291988977736994816e+18,4.036429655913478144e+18,4.128039543077512192e+18
5.670000000000000347e-07,2.403479001067050496e+18,3.328808827759788032e+18,4.082353164051562496e+18,4.175083507891670016e+18
5.740000000000000312e-07,2.429063956858455040e+18,3.365524889958019072e+18,4.128165397358694912e+18,4.222015282660556288e+18
5.810000000000000277e-07,2.454555851946714112e+18,3.402137265933739520e+18,4.173866367180756480e+18,4.268834867680598016e+18
5.880000000000000242e-07,2.479954908835593728e+18,3.438646057200124928e+18,4.219456084854251008e+18,4.315542263247980032e+18
5.950000000000000207e-07,2.505261349662262784e+18,3.475051365180423168e+18,4.264934561706169344e+18,4.362137469658640384e+18
6.020000000000000172e-07,2.530475396194493440e+18,3.511353291206929920e+18,4.310301809053896192e+18,4.408620487208257024e+18
6.090000000000000137e-07,2.555597269827856384e+18,3.547551936519920640e+18,4.355557838205096960e+18,4.454991316192268288e+18
6.160000000000000102e-07,2.580627191582964736e+18,3.583647402266632704e+18,4.400702660457597952e+18,4.501249956905840640e+18
6.230000000000000067e-07,2.605565382102733824e+18,3.619639789500212224e+18,4.445736287099283456e+18,4.547396409643893248e+18
6.300000000000000033e-07,2.630412061649684480e+18,3.655529199178688000e+18,4.490658729407975424e+18,4.593430674701073408e+18
6.369999999999999998e-07,2.655167450103272448e+18,3.691315732163917824e+18,4.535469998651335168e+18,4.639352752371768320e+18
6.439999999999999963e-07,2.679831766957222400e+18,3.726999489220576768e+18,4.580170106086736384e+18,4.685162642950093824e+18
6.509999999999999928e-07,2.704405231316941824e+18,3.762580571015104000e+18,4.624759062961162240e+18,4.730860346729894912e+18
6.579999999999999893e-07,2.728888061896903168e+18,3.798059078114684416e+18,4.669236880511101952e+18,4.776445864004742144e+18
6.649999999999999858e-07,2.753280477018104832e+18,3.833435110986201600e+18,4.713603569962421248e+18,4.821919195067927552e+18
6.719999999999999823e-07,2.777582694605529600e+18,3.868708769995236864e+18,4.757859142530270208e+18,4.867280340212467712e+18
6.789999999999999788e-07,2.801794932185640448e+18,3.903880155405009408e+18,4.802003609418960896e+18,4.912529299731091456e+18
6.859999999999999753e-07,2.825917406883901952e+18,3.938949367375375872e+18,4.846036981821862912e+18,4.957666073916242944e+18
6.929999999999999718e-07,2.849950335422343168e+18,3.973916505961794048e+18,4.889959270921285632e+18,5.002690663060076544e+18
6.999999999999999683e-07,2.873893934117116416e+18,4.008781671114299392e+18,4.933770487888380928e+18,5.047603067454457856e+18
7.069999999999999648e-07,2.897748418876112896e+18,4.043544962676495360e+18,4.977470643883010048e+18,5.092403287390955520e+18
7.139999999999999613e-07,2.921514005196599296e+18,4.078206480384515584e+18,5.021059750053673984e+18,5.137091323160839168e+18
7.209999999999999578e-07,2.945190908162857984e+18,4.112766323866027008e+18,5.064537817537341440e+18,5.181667175055086592e+18
7.279999999999999544e-07,2.968779342443887104e+18,4.147224592639198208e+18,5.107904857459410944e+18,5.226130843364358144e+18
7.349999999999999509e-07,2.992279522291104768e+18,4.181581386111684608e+18,5.151160880933542912e+18,5.270482328379019264e+18
7.419999999999999474e-07,3.015691661536079360e+18,4.215836803579633152e+18,5.194305899061574656e+18,5.314721630389127168e+18
7.489999999999999439e-07,3.039015973588301312e+18,4.249990944226644480e+18,5.237339922933417984e+18,5.358848749684413440e+18
7.559999999999999404e-07,3.062252671432960000e+18,4.284043907122786304e+18,5.280262963626931200e+18,5.402863686554314752e+18
7.629999999999999369e-07,3.085401967628764672e+18,4.317995791223576576e+18,5.323075032207821824e+18,5.446766441287930880e+18
7.699999999999999334e-07,3.108464074305768448e+18,4.351846695368971264e+18,5.365776139729531904e+18,5.490557014174062592e+18
7.769999999999999299e-07,3.131439203163248128e+18,4.385596718282369536e+18,5.408366297233132544e+18,5.534235405501157376e+18
7.840000000000000323e-07,3.154327565467571712e+18,4.419245958569605632e+18,5.450845515747219456e+18,5.577801615557377024e+18
7.910000000000000288e-07,3.177129372050124800e+18,4.452794514717955584e+18,5.493213806287791104e+18,5.621255644630514688e+18
7.980000000000000253e-07,3.199844833305227776e+18,4.486242485095114752e+18,5.535471179858145280e+18,5.664597493008058368e+18
8.050000000000000218e-07,3.222474159188116480e+18,4.519589967948236800e+18,5.577617647448777728e+18,5.707827160977142784e+18
8.120000000000000183e-07,3.245017559212902912e+18,4.552837061402899968e+18,5.619653220037267456e+18,5.750944648824584192e+18
8.190000000000000148e-07,3.267475242450604032e+18,4.585983863462145024e+18,5.661577908588167168e+18,5.793949956836843520e+18
8.260000000000000113e-07,3.289847417527143936e+18,4.619030472005459968e+18,5.703391724052899840e+18,5.836843085300046848e+18
8.330000000000000078e-07,3.312134292621435392e+18,4.651976984787804160e+18,5.745094677369644032e+18,5.879624034499969024e+18
8.400000000000000043e-07,3.334336075463431680e+18,4.684823499438603264e+18,5.786686779463232512e+18,5.922292804722040832e+18
8.470000000000000008e-07,3.356452973332236800e+18,4.717570113460785152e+18,5.828168041245041664e+18,5.964849396251339776e+18
8.539999999999999974e-07,3.378485193054232576e+18,4.750216924229773312e+18,5.869538473612886016e+18,6.007293809372584960e+18
8.609999999999999939e-07,3.400432941001204224e+18,4.782764028992520192e+18,5.910798087450903552e+18,6.049626044370145280e+18
8.679999999999999904e-07,3.422296423088522752e+18,4.815211524866511872e+18,5.951946893629453312e+18,6.091846101528025088e+18
8.749999999999999869e-07,3.444075844773322240e+18,4.847559508838795264e+18,5.992984903005015040e+18,6.133953981129866240e+18
8.819999999999999834e-07,3.465771411052721152e+18,4.879808077765006336e+18,6.033912126420066304e+18,6.175949683458949120e+18
8.889999999999999799e-07,3.487383326462038528e+18,4.911957328368378880e+18,6.074728574702990336e+18,6.217833208798178304e+18
8.959999999999999764e-07,3.508911795073062400e+18,4.944007357238789120e+18,6.115434258667957248e+18,6.259604557430094848e+18
9.029999999999999729e-07,3.530357020492306944e+18,4.975958260831766528e+18,6.156029189114834944e+18,6.301263729636859904e+18
9.099999999999999694e-07,3.551719205859330048e+18,5.007810135467540480e+18,6.196513376829053952e+18,6.342810725700257792e+18
9.169999999999999659e-07,3.572998553845026304e+18,5.039563077330053120e+18,6.236886832581531648e+18,6.384245545901707264e+18
9.239999999999999624e-07,3.594195266649987072e+18,5.071217182466014208e+18,6.277149567128544256e+18,6.425568190522219520e+18
9.309999999999999589e-07,3.615309546002829824e+18,5.102772546783918080e+18,6.317301591211630592e+18,6.466778659842441216e+18
9.379999999999999554e-07,3.636341593158610432e+18,5.134229266053092352e+18,6.357342915557487616e+18,6.507876954142624768e+18
9.449999999999999519e-07,3.657291608897195008e+18,5.165587435902733312e+18,6.397273550877845504e+18,6.548863073702628352e+18
9.519999999999999484e-07,3.678159793521687040e+18,5.196847151820951552e+18,6.437093507869404160e+18,6.589737018801918976e+18
9.590000000000000508e-07,3.698946346856875520e+18,5.228008509153813504e+18,6.476802797213675520e+18,6.630498789719581696e+18
9.659999999999999415e-07,3.719651468247670784e+18,5.259071603104379904e+18,6.516401429576919040e+18,6.671148386734271488e+18
9.730000000000000438e-07,3.740275356557609472e+18,5.290036528731771904e+18,6.555889415610012672e+18,6.711685810124272640e+18
9.799999999999999345e-07,3.760818210167327744e+18,5.320903380950194176e+18,6.595266765948355584e+18,6.752111060167443456e+18
9.870000000000000369e-07,3.781280226973096448e+18,5.351672254528016384e+18,6.634533491211768832e+18,6.792424137141250048e+18
9.939999999999999275e-07,3.801661604385342976e+18,5.382343244086797312e+18,6.673689602004383744e+18,6.832625041322738688e+18
1.001000000000000030e-06,3.821962539327217152e+18,5.412916444100374528e+18,6.712735108914532352e+18,6.872713772988549120e+18
1.007999999999999921e-06,3.842183228233148928e+18,5.443391948893876224e+18,6.751670022514658304e+18,6.912690332414900224e+18
1.015000000000000023e-06,3.862323867047462912e+18,5.473769852642833408e+18,6.790494353361197056e+18,6.952554719877603328e+18
1.021999999999999914e-06,3.882384651222964224e+18,5.504050249372204032e+18,6.829208111994477568e+18,6.992306935652029440e+18
1.029000000000000016e-06,3.902365775719585792e+18,5.534233232955448320e+18,6.867811308938629120e+18,7.031946980013151232e+18
1.035999999999999907e-06,3.922267435003024896e+18,5.564318897113601024e+18,6.906303954701448192e+18,7.071474853235492864e+18
1.043000000000000009e-06,3.942089823043407872e+18,5.594307335414329344e+18,6.944686059774336000e+18,7.110890555593164800e+18
1.049999999999999900e-06,3.961833133313982464e+18,5.624198641271014400e+18,6.982957634632146944e+18,7.150194087359833088e+18
1.057000000000000002e-06,3.981497558789801472e+18,5.653992907941810176e+18,7.021118689733137408e+18,7.189385448808745984e+18
1.063999999999999893e-06,4.001083291946452992e+18,5.683690228528734208e+18,7.059169235518818304e+18,7.228464640212695040e+18
1.070999999999999995e-06,4.020590524758793728e+18,5.713290695976729600e+18,7.097109282413876224e+18,7.267431661844052992e+18
1.077999999999999886e-06,4.040019448699690496e+18,5.742794403072753664e+18,7.134938840826060800e+18,7.306286513974724608e+18
1.084999999999999988e-06,4.059370254738806272e+18,5.772201442444853248e+18,7.172657921146087424e+18,7.345029196876201984e+18
1.091999999999999879e-06,4.078643133341367296e+18,5.801511906561245184e+18,7.210266533747530752e+18,7.383659710819494912e+18
1.098999999999999981e-06,4.097838274466982400e+18,5.830725887729417216e+18,7.247764688986731520e+18,7.422178056075192320e+18
1.105999999999999872e-06,4.116955867568449536e+18,5.859843478095201280e+18,7.285152397202670592e+18,7.460584232913412096e+18
1.112999999999999974e-06,4.135996101590598144e+18,5.888864769641859072e+18,7.322429668716901376e+18,7.498878241603815424e+18
1.119999999999999865e-06,4.154959164969136640e+18,5.917789854189192192e+18,7.359596513833418752e+18,7.537060082415621120e+18
1.126999999999999967e-06,4.173845245629524480e+18,5.946618823392614400e+18,7.396652942838567936e+18,7.575129755617570816e+18
1.134000000000000069e-06,4.192654530985852416e+18,5.975351768742275072e+18,7.433598966000952320e+18,7.613087261477954560e+18
1.140999999999999960e-06,4.211387207939744768e+18,6.003988781562124288e+18,7.470434593571313664e+18,7.650932600264581120e+18
1.148000000000000062e-06,4.230043462879266816e+18,6.032529953009042432e+18,7.507159835782444032e+18,7.688665772244802560e+18
1.154999999999999953e-06,4.248623481677873152e+18,6.060975374071934976e+18,7.543774702849083392e+18,7.726286777685500928e+18
1.162000000000000055e-06,4.267127449693331968e+18,6.089325135570813952e+18,7.580279204967817216e+18,7.763795616853071872e+18
1.168999999999999946e-06,4.285555551766704128e+18,6.117579328155953152e+18,7.616673352316965888e+18,7.801192290013443072e+18
1.176000000000000048e-06,4.303907972221307392e+18,6.145738042306958336e+18,7.652957155056501760e+18,7.838476797432059904e+18
1.182999999999999939e-06,4.322184894861720576e+18,6.173801368331884544e+18,7.689130623327945728e+18,7.875649139373890560e+18
1.190000000000000041e-06,4.340386502972773376e+18,6.201769396366371840e+18,7.725193767254252544e+18,7.912709316103407616e+18
1.196999999999999932e-06,4.358512979318581760e+18,6.229642216372740096e+18,7.761146596939718656e+18,7.949657327884602368e+18
1.204000000000000034e-06,4.376564506141581824e+18,6.257419918139113472e+18,7.796989122469898240e+18,7.986493174980984832e+18
1.210999999999999925e-06,4.394541265161567232e+18,6.285102591278550016e+18,7.832721353911474176e+18,8.023216857655557120e+18
1.218000000000000027e-06,4.412443437574772736e+18,6.312690325228154880e+18,7.868343301312181248e+18,8.059828376170831872e+18
1.224999999999999918e-06,4.430271204052937216e+18,6.340183209248204800e+18,7.903854974700703744e+18,8.096327730788829184e+18
1.232000000000000020e-06,4.448024744742398976e+18,6.367581332421295104e+18,7.939256384086566912e+18,8.132714921771060224e+18
1.238999999999999911e-06,4.465704239263212032e+18,6.394884783651440640e+18,7.974547539460047872e+18,8.168989949378538496e+18
1.246000000000000013e-06,4.483309866708258816e+18,6.422093651663235072e+18,8.009728450792067072e+18,8.205152813871777792e+18
1.252999999999999904e-06,4.500841805642370560e+18,6.449208025000969216e+18,8.044799128034102272e+18,8.241203515510766592e+18
1.260000000000000007e-06,4.518300234101513216e+18,6.476227992027772928e+18,8.079759581118084096e+18,8.277142054554996736e+18
1.266999999999999897e-06,4.535685329591896576e+18,6.503153640924764160e+18,8.114609819956288512e+18,8.312968431263447040e+18
1.274000000000000000e-06,4.552997269089195520e+18,6.529985059690172416e+18,8.149349854441263104e+18,8.348682645894574080e+18
1.280999999999999890e-06,4.570236229037701632e+18,6.556722336138501120e+18,8.183979694445704192e+18,8.384284698706312192e+18
1.287999999999999993e-06,4.587402385349554176e+18,6.583365557899662336e+18,8.218499349822373888e+18,8.419774589956094976e+18
1.294999999999999883e-06,4.604495913403916800e+18,6.609914812418134016e+18,8.252908830403992576e+18,8.455152319900801024e+18
1.301999999999999986e-06,4.621516988046240768e+18,6.636370186952111104e+18,8.287208146003161088e+18,8.490417888796820480e+18
1.308999999999999876e-06,4.638465783587475456e+18,6.662731768572642304e+18,8.321397306412239872e+18,8.525571296899976192e+18
1.315999999999999979e-06,4.655342473803337728e+18,6.688999644162822144e+18,8.355476321403264000e+18,8.560612544465597440e+18
1.322999999999999869e-06,4.672147231933556736e+18,6.715173900416909312e+18,8.389445200727855104e+18,8.595541631748439040e+18
1.329999999999999972e-06,4.688880230681171968e+18,6.741254623839514624e+18,8.423303954117104640e+18,8.630358559002764288e+18
1.336999999999999862e-06,4.705541642211794944e+18,6.767241900744760320e+18,8.457052591281496064e+18,8.665063326482263040e+18
1.343999999999999965e-06,4.722131638152933376e+18,6.793135817255437312e+18,8.490691121910804480e+18,8.699655934440100864e+18
1.351000000000000067e-06,4.738650389593288704e+18,6.818936459302175744e+18,8.524219555673996288e+18,8.734136383128894464e+18
1.357999999999999958e-06,4.755098067082077184e+18,6.844643912622631936e+18,8.557637902219126784e+18,8.768504672800715776e+18
1.365000000000000060e-06,4.771474840628373504e+18,6.870258262760629248e+18,8.590946171173273600e+18,8.802760803707091968e+18
1.371999999999999951e-06,4.787780879700459520e+18,6.895779595065372672e+18,8.624144372142403584e+18,8.836904776098981888e+18
1.379000000000000053e-06,4.804016353225162752e+18,6.921207994690591744e+18,8.657232514711314432e+18,8.870936590226826240e+18
1.385999999999999944e-06,4.820181429587254272e+18,6.946543546593747968e+18,8.690210608443507712e+18,8.904856246340469760e+18
1.393000000000000046e-06,4.836276276628807680e+18,6.971786335535199232e+18,8.723078662881114112e+18,8.938663744689223680e+18
1.399999999999999937e-06,4.852301061648589824e+18,6.996936446077396992e+18,8.755836687544802304e+18,8.972359085521826816e+18
1.407000000000000039e-06,4.868255951401490432e+18,7.021993962584070144e+18,8.788484691933666304e+18,9.005942269086465024e+18
1.413999999999999930e-06,4.884141112097896448e+18,7.046958969219409920e+18,8.821022685525144576e+18,9.039413295630748672e+18
1.421000000000000032e-06,4.899956709403145216e+18,7.071831549947276288e+18,8.853450677774937088e+18,9.072772165401729024e+18
1.427999999999999923e-06,4.915702908436946944e+18,7.096611788530381824e+18,8.885768678116881408e+18,9.106018878645874688e+18
1.435000000000000025e-06,4.931379873772837888e+18,7.121299768529488896e+18,8.917976695962884096e+18,9.139153435609088000e+18
1.441999999999999916e-06,4.946987769437624320e+18,7.145895573302624256e+18,8.950074740702830592e+18,9.172175836536699904e+18
1.449000000000000018e-06,4.962526758910866432e+18,7.170399286004258816e+18,8.982062821704472576e+18,9.205086081673455616e+18
1.455999999999999909e-06,4.977997005124329472e+18,7.194810989584537600e+18,9.013940948313348096e+18,9.237884171263522816e+18
1.463000000000000011e-06,4.993398670461500416e+18,7.219130766788476928e+18,9.045709129852690432e+18,9.270570105550489600e+18
1.469999999999999902e-06,5.008731916757059584e+18,7.243358700155165696e+18,9.077367375623325696e+18,9.303143884777353216e+18
1.477000000000000004e-06,5.023996905296401408e+18,7.267494872016987136e+18,9.108915694903607296e+18,9.335605509186527232e+18
1.483999999999999895e-06,5.039193796815141888e+18,7.291539364498838528e+18,9.140354096949277696e+18,9.367954979019835392e+18
1.490999999999999997e-06,5.054322751498654720e+18,7.315492259517352960e+18,9.171682590993432576e+18,9.400192294518503424e+18
1.497999999999999888e-06,5.069383928981594112e+18,7.339353638780090368e+18,9.202901186246378496e+18,9.432317455923173376e+18
1.504999999999999990e-06,5.084377488347447296e+18,7.363123583784797184e+18,9.234009891895588864e+18,9.464330463473879040e+18
1.511999999999999881e-06,5.099303588128098304e+18,7.386802175818616832e+18,9.265008717105567744e+18,9.496231317410054144e+18
1.518999999999999983e-06,5.114162386303372288e+18,7.410389495957307392e+18,9.295897671017791488e+18,9.528020017970546688e+18
1.525999999999999874e-06,5.128954040300612608e+18,7.433885625064489984e+18,9.326676762750613504e+18,9.559696565393580032e+18
1.532999999999999976e-06,5.143678706994288640e+18,7.457290643790878720e+18,9.357346001399164928e+18,9.591260959916783616e+18
1.539999999999999867e-06,5.158336542705539072e+18,7.480604632573491200e+18,9.387905396035262464e+18,9.622713201777172480e+18
1.546999999999999969e-06,5.172927703201832960e+18,7.503827671634939904e+18,9.418354955707338752e+18,9.654053291211153408e+18
1.553999999999999860e-06,5.187452343696505856e+18,7.526959840982604800e+18,9.448694689440329728e+18,9.685281228454520832e+18
1.560999999999999962e-06,5.201910618848453632e+18,7.550001220407949312e+18,9.478924606235596800e+18,9.716397013742446592e+18
1.568000000000000065e-06,5.216302682761696256e+18,7.572951889485698048e+18,9.509044715070849024e+18,9.747400647309488128e+18
1.574999999999999955e-06,5.230628688985046016e+18,7.595811927573139456e+18,9.539055024900024320e+18,9.778292129389590528e+18
1.582000000000000058e-06,5.244888790511742976e+18,7.618581413809334272e+18,9.568955544653234176e+18,9.809071460216059904e+18
1.588999999999999948e-06,5.259083139779106816e+18,7.641260427114418176e+18,9.598746283236648960e+18,9.839738640021585920e+18
1.596000000000000051e-06,5.273211888668190720e+18,7.663849046188801024e+18,9.628427249532432384e+18,9.870293669038231552e+18
1.602999999999999941e-06,5.287275188503451648e+18,7.686347349512477696e+18,9.657998452398637056e+18,9.900736547497431040e+18
1.610000000000000044e-06,5.301273190052440064e+18,7.708755415344245760e+18,9.687459900669126656e+18,9.931067275629991936e+18
