x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
2.388755102040816120e-03,2.623012909341231741e-02,2.837157622074521000e+15,1.552208764996797400e+16
2.449979591836734701e-03,7.935714868730257832e-03,2.783024522803699000e+15,1.540730217300439600e+16
2.511204081632653282e-03,2.395122437427149153e-03,2.732628365692719000e+15,1.529251676622712200e+16
2.572428571428571429e-03,7.212812340987769790e-04,2.685945097201628500e+15,1.517773142928441800e+16
2.633653061224489576e-03,2.167652799942870626e-04,2.642950131025592500e+15,1.506294616180323200e+16
2.694877551020408157e-03,6.502070247472445136e-05,2.603618373399003500e+15,1.494816096338923800e+16
2.756102040816326738e-03,1.947026872978757645e-05,2.567924245621967500e+15,1.483337583362702600e+16
2.817326530612244886e-03,5.824146742258064897e-06,2.535841703732503000e+15,1.471859077208015000e+16
2.878551020408163033e-03,1.750712976663060654e-06,2.507344255262852000e+15,1.460380577829134800e+16
2.939775510204081614e-03,5.630713351666564299e-07,2.482404973033536000e+15,1.448902085178263800e+16
3.001000000000000195e-03,3.062686537771311691e-07,2.460996505954311000e+15,1.437423599205545000e+16
3.001000000000000195e-03,1.637800287578240904e-09,1.316040912275032617e+13,7.686757215002915625e+13
3.001020408163265416e-03,1.604222443842370971e-09,1.289182799322379688e+13,7.529884618776421875e+13
3.001040816326530636e-03,1.570654093883872060e-09,1.262324694729596680e+13,7.373012022550090625e+13
3.001061224489796290e-03,1.537095039047014964e-09,1.235466598321946875e+13,7.216139426320567188e+13
3.001081632653061510e-03,1.503545080733079560e-09,1.208608509926409766e+13,7.059266830094542188e+13
3.001102040816326730e-03,1.470004020394897482e-09,1.181750429368250586e+13,6.902394233868663281e+13
3.001122448979591951e-03,1.436471659538534191e-09,1.154892356473303906e+13,6.745521637642925000e+13
3.001142857142857171e-03,1.402947799721410038e-09,1.128034291067407422e+13,6.588649041417330469e+13
3.001163265306122391e-03,1.369432242551120493e-09,1.101176232976396289e+13,6.431776445191879688e+13
3.001183673469388045e-03,1.335924789683556381e-09,1.074318182025535938e+13,6.274903848963217969e+13
3.001204081632653266e-03,1.302425242824586161e-09,1.047460138041805273e+13,6.118031252738032031e+13
3.001224489795918486e-03,1.268933403724606455e-09,1.020602100850468359e+13,5.961158656512972656e+13
3.001244897959183706e-03,1.235449074180220817e-09,9.937440702773611328e+12,5.804286060288035938e+13
3.001265306122448927e-03,1.201972056032362236e-09,9.668860461483201172e+12,5.647413464063224219e+13
3.001285714285714581e-03,1.168502151164406960e-09,9.400280282886101562e+12,5.490540867835196094e+13
3.001306122448979801e-03,1.135039161503855322e-09,9.131700165252103516e+12,5.333668271610619531e+13
3.001326530612245021e-03,1.101582889016889520e-09,8.863120106833853516e+12,5.176795675386149219e+13
3.001346938775510242e-03,1.068133135710054855e-09,8.594540105889706055e+12,5.019923079161791406e+13
3.001367346938775462e-03,1.034689703628375002e-09,8.325960160678017578e+12,4.863050482937539844e+13
3.001387755102040682e-03,1.001252394854188375e-09,8.057380269457152344e+12,4.706177886713385938e+13
3.001408163265306336e-03,9.678210115052646340e-10,7.788800430479772461e+12,4.549305290486001562e+13
3.001428571428571557e-03,9.343953557364842777e-10,7.520220642015655273e+12,4.392432694262045312e+13
3.001448979591836777e-03,9.009752297344004472e-10,7.251640902317442383e+12,4.235560098038178906e+13
3.001469387755101997e-03,8.675604357189198599e-10,6.983061209643501953e+12,4.078687501814403125e+13
3.001489795918367218e-03,8.341507759414222148e-10,6.714481562252183594e+12,3.921814905590713281e+13
3.001510204081632872e-03,8.007460526828817687e-10,6.445901958396146484e+12,3.764942309363771094e+13
3.001530612244898092e-03,7.673460682555444449e-10,6.177322396345182617e+12,3.608069713140243750e+13
3.001551020408163312e-03,7.339506249974951177e-10,5.908742874351926758e+12,3.451197116916792969e+13
3.001571428571428533e-03,7.005595252743359617e-10,5.640163390674740234e+12,3.294324520693412500e+13
3.001591836734693753e-03,6.671725714773052365e-10,5.371583943571986328e+12,3.137451924470100391e+13
3.001612244897959407e-03,6.337895660214068247e-10,5.103004531296315430e+12,2.980579328243520312e+13
3.001632653061224627e-03,6.004103113470783445e-10,4.834425152117509766e+12,2.823706732020338281e+13
3.001653061224489848e-03,5.670346099147671199e-10,4.565845804288217773e+12,2.666834135797215234e+13
3.001673469387755068e-03,5.336622642066052218e-10,4.297266486066801758e+12,2.509961539574148828e+13
3.001693877551020288e-03,5.002930767245317673e-10,4.028687195711620117e+12,2.353088943351133594e+13
3.001714285714285509e-03,4.669268499891289736e-10,3.760107931481032715e+12,2.196216347128169531e+13
