x (m), retention (H/m3)
0.000000000000000000e+00,2.570331271318378163e+25
4.285714285714285672e-07,3.723754744944773299e+25
8.571428571428571343e-07,3.662804118969242936e+25
1.285714285714285807e-06,1.081781852294003250e+25
1.714285714285714269e-06,1.019335847820675810e+25
2.142857142857142730e-06,9.565669338023622345e+24
2.571428571428571615e-06,8.938101267293609807e+24
3.000000000000000076e-06,8.314212485015468809e+24
5.000000000000000409e-06,5.560267508008110204e+24
