t (s), T (K), flux (H/m2/s)
2.050000000000000000e+03,3.000000000000009095e+02,1.478349195222726000e+15
2.055000000000000000e+03,3.199999999999998863e+02,9.813901562752132000e+15
2.055500000000000000e+03,3.219999999999997158e+02,1.162179846416426000e+16
2.056000000000000000e+03,3.239999999999998295e+02,1.366944388944880600e+16
2.056500000000000000e+03,3.259999999999988631e+02,1.596370727112663800e+16
2.057000000000000000e+03,3.279999999999992042e+02,1.850644536482100800e+16
2.057500000000000000e+03,3.299999999999990337e+02,2.129466933229108800e+16
2.058000000000000000e+03,3.319999999999984652e+02,2.432171304742012000e+16
2.058500000000000000e+03,3.339999999999989768e+02,2.757924167896022800e+16
2.059000000000000000e+03,3.359999999999989200e+02,3.105978157200225200e+16
2.059500000000000000e+03,3.379999999999993179e+02,3.475920889696690400e+16
2.060000000000000000e+03,3.399999999999994884e+02,3.867854642522295200e+16
2.060500000000000000e+03,3.419999999999992610e+02,4.282458147560991200e+16
2.061000000000000000e+03,3.439999999999986358e+02,4.720921562244263200e+16
2.061500000000000000e+03,3.459999999999982947e+02,5.184792352347915200e+16
2.062000000000000000e+03,3.479999999999986926e+02,5.675799404974295200e+16
2.062500000000000000e+03,3.499999999999980105e+02,6.195718975831184000e+16
2.063000000000000000e+03,3.520000000000016485e+02,6.746313079382968000e+16
2.063500000000000000e+03,3.540000000000016485e+02,7.329330688812457600e+16
2.064000000000000000e+03,3.560000000000018190e+02,7.946538266299364800e+16
2.064500000000000000e+03,3.580000000000018190e+02,8.599747336165800000e+16
2.065000000000000000e+03,3.600000000000011937e+02,9.290823948869772800e+16
2.065500000000000000e+03,3.620000000000013074e+02,1.002168222306905760e+17
2.066000000000000000e+03,3.640000000000011369e+02,1.079427197383487840e+17
2.066500000000000000e+03,3.660000000000010800e+02,1.161056890320822720e+17
2.067000000000000000e+03,3.680000000000010800e+02,1.247257046282733120e+17
2.067500000000000000e+03,3.700000000000016485e+02,1.338229616883829600e+17
2.068000000000000000e+03,3.720000000000009663e+02,1.434178954200498720e+17
2.068500000000000000e+03,3.740000000000007390e+02,1.535311927790254720e+17
2.069000000000000000e+03,3.760000000000007390e+02,1.641837840473006720e+17
2.069500000000000000e+03,3.780000000000003979e+02,1.753968124150401920e+17
2.070000000000000000e+03,3.800000000000003411e+02,1.871915844049055040e+17
2.070500000000000000e+03,3.819999999999996589e+02,1.995895066194568320e+17
2.071000000000000000e+03,3.840000000000007390e+02,2.126120129472494720e+17
2.071500000000000000e+03,3.860000000000003979e+02,2.262804850996713280e+17
2.072000000000000000e+03,3.880000000000002842e+02,2.406161679321814080e+17
2.072500000000000000e+03,3.899999999999993747e+02,2.556400800077573120e+17
2.073000000000000000e+03,3.919999999999996021e+02,2.713729192002920960e+17
2.073500000000000000e+03,3.939999999999997726e+02,2.878349625778402880e+17
2.074000000000000000e+03,3.959999999999987494e+02,3.050459591509155200e+17
2.074500000000000000e+03,3.979999999999987494e+02,3.230250133161372800e+17
2.075000000000000000e+03,3.999999999999979536e+02,3.417904562117199360e+17
2.075500000000000000e+03,4.019999999999990905e+02,3.613597020956419840e+17
2.076000000000000000e+03,4.039999999999981810e+02,3.817490875064697600e+17
2.076500000000000000e+03,4.059999999999990337e+02,4.029736922784853120e+17
2.077000000000000000e+03,4.079999999999986358e+02,4.250471430027420800e+17
2.077500000000000000e+03,4.099999999999986926e+02,4.479814006433254400e+17
2.078000000000000000e+03,4.119999999999972147e+02,4.717865342831385600e+17
2.078500000000000000e+03,4.139999999999983515e+02,4.964704823286121600e+17
2.079000000000000000e+03,4.159999999999979536e+02,5.220388013099025920e+17
2.079500000000000000e+03,4.180000000000019327e+02,5.484944012781248000e+17
2.080000000000000000e+03,4.200000000000009663e+02,5.758372663122426880e+17
2.080500000000000000e+03,4.220000000000015916e+02,6.040641591661521920e+17
2.081000000000000000e+03,4.240000000000009663e+02,6.331683106778839040e+17
2.081500000000000000e+03,4.260000000000006253e+02,6.631390970699312640e+17
2.082000000000000000e+03,4.280000000000008527e+02,6.939617114479272960e+17
2.082500000000000000e+03,4.300000000000013642e+02,7.256168394311700480e+17
2.083000000000000000e+03,4.320000000000003979e+02,7.580803527452376320e+17
2.083500000000000000e+03,4.340000000000011937e+02,7.913230385737285120e+17
2.084000000000000000e+03,4.360000000000002274e+02,8.253103861618557440e+17
2.084500000000000000e+03,4.380000000000020464e+02,8.600024549913661440e+17
2.085000000000000000e+03,4.399999999999996589e+02,8.953538498901703680e+17
2.085500000000000000e+03,4.420000000000009663e+02,9.313138265181094400e+17
2.086000000000000000e+03,4.439999999999992042e+02,9.678265445182265600e+17
2.086500000000000000e+03,4.460000000000007958e+02,1.004831474267725824e+18
2.087000000000000000e+03,4.480000000000007958e+02,1.042263946465355392e+18
2.087500000000000000e+03,4.500000000000002842e+02,1.080055813095252480e+18
2.088000000000000000e+03,4.520000000000011369e+02,1.118136166983502464e+18
2.088500000000000000e+03,4.539999999999993179e+02,1.156432050737139456e+18
2.089000000000000000e+03,4.560000000000001137e+02,1.194869081290119680e+18
2.089500000000000000e+03,4.579999999999994884e+02,1.233371930150206720e+18
2.090000000000000000e+03,4.600000000000007390e+02,1.271864635079666176e+18
2.090500000000000000e+03,4.619999999999978968e+02,1.310270773398645760e+18
2.091000000000000000e+03,4.639999999999993747e+02,1.348513589391022848e+18
2.091500000000000000e+03,4.659999999999982379e+02,1.386516220732728832e+18
2.092000000000000000e+03,4.680000000000005116e+02,1.424202192346503936e+18
2.092500000000000000e+03,4.699999999999977263e+02,1.461496328210160896e+18
2.093000000000000000e+03,4.720000000000000568e+02,1.498326174107092992e+18
2.093500000000000000e+03,4.739999999999980673e+02,1.534623945019843584e+18
2.094000000000000000e+03,4.759999999999991473e+02,1.570328938010413312e+18
2.094500000000000000e+03,4.779999999999965894e+02,1.605390311236458496e+18
2.095000000000000000e+03,4.800000000000030695e+02,1.639770134267530752e+18
2.095500000000000000e+03,4.820000000000008527e+02,1.673446656815021312e+18
2.096000000000000000e+03,4.840000000000023306e+02,1.706417800559084800e+18
2.096500000000000000e+03,4.859999999999993179e+02,1.738704926529144832e+18
2.097000000000000000e+03,4.880000000000024443e+02,1.770356948763631616e+18
2.097500000000000000e+03,4.899999999999999432e+02,1.801454841689873664e+18
2.098000000000000000e+03,4.920000000000012506e+02,1.832116514438746880e+18
2.098500000000000000e+03,4.940000000000004547e+02,1.862501887597328384e+18
2.099000000000000000e+03,4.960000000000023874e+02,1.892817791690134016e+18
2.099500000000000000e+03,4.979999999999990905e+02,1.923322005324966400e+18
2.100000000000000000e+03,5.000000000000009095e+02,1.954325384625283328e+18
2.100500000000000000e+03,5.019999999999996021e+02,1.986190668787024384e+18
2.101000000000000000e+03,5.040000000000015348e+02,2.019326292865891328e+18
2.101500000000000000e+03,5.059999999999977263e+02,2.054173542925861376e+18
2.102000000000000000e+03,5.079999999999993179e+02,2.091185784063500032e+18
2.102500000000000000e+03,5.099999999999975557e+02,2.130799344712231424e+18
2.103000000000000000e+03,5.120000000000000000e+02,2.173396900311040512e+18
2.103500000000000000e+03,5.140000000000023874e+02,2.219265679588776192e+18
2.104000000000000000e+03,5.160000000000007958e+02,2.268554222405585408e+18
2.104500000000000000e+03,5.180000000000023874e+02,2.321232415884193280e+18
2.105000000000000000e+03,5.199999999999984084e+02,2.377059846216881664e+18
2.105500000000000000e+03,5.220000000000006821e+02,2.435566985768046592e+18
2.106000000000000000e+03,5.239999999999992042e+02,2.496052431340376064e+18
2.106500000000000000e+03,5.260000000000013642e+02,2.557597538425042432e+18
2.107000000000000000e+03,5.279999999999978400e+02,2.619097696139560960e+18
2.107500000000000000e+03,5.299999999999997726e+02,2.679307530476571648e+18
2.108000000000000000e+03,5.319999999999985221e+02,2.736895828549577216e+18
2.108500000000000000e+03,5.340000000000007958e+02,2.790505146284726272e+18
2.109000000000000000e+03,5.359999999999971578e+02,2.838810955859468800e+18
2.109500000000000000e+03,5.380000000000015916e+02,2.880575733901946368e+18
2.110000000000000000e+03,5.399999999999971578e+02,2.914694418555203584e+18
2.110500000000000000e+03,5.420000000000001137e+02,2.940228958183971840e+18
2.111000000000000000e+03,5.439999999999962483e+02,2.956431021943333376e+18
2.111500000000000000e+03,5.460000000000038654e+02,2.962753162105663488e+18
2.112000000000000000e+03,5.479999999999997726e+02,2.958849682676498432e+18
2.112500000000000000e+03,5.500000000000023874e+02,2.944569109604666880e+18
2.113000000000000000e+03,5.519999999999987494e+02,2.919940459978646528e+18
2.113500000000000000e+03,5.540000000000025011e+02,2.885155500453268992e+18
2.114000000000000000e+03,5.559999999999984084e+02,2.840548930762752512e+18
2.114500000000000000e+03,5.580000000000013642e+02,2.786578008952145920e+18
2.115000000000000000e+03,5.599999999999995453e+02,2.723802641663144448e+18
2.115500000000000000e+03,5.620000000000017053e+02,2.652866482778033152e+18
2.116000000000000000e+03,5.639999999999980673e+02,2.574479189886132224e+18
2.116500000000000000e+03,5.659999999999998863e+02,2.489399729918665216e+18
2.117000000000000000e+03,5.679999999999986358e+02,2.398420523461112320e+18
2.117500000000000000e+03,5.700000000000003411e+02,2.302352262321734912e+18
