x (m), retention (H/m3)
0.000000000000000000e+00,1.445380659483510330e+23
4.285714285714285672e-07,1.948971381905896750e+25
8.571428571428571343e-07,1.938789804937976011e+25
1.285714285714285807e-06,9.712097614138486607e+22
1.714285714285714269e-06,9.489998895482063867e+22
2.142857142857142730e-06,9.267885331016544630e+22
2.571428571428571615e-06,9.045756931485836562e+22
3.000000000000000076e-06,8.823613704906289761e+22
5.000000000000000409e-06,7.786749453313373949e+22
