x,t=steady
1.130653266331658284e-08,1.579390703786891674e+19
1.145728643216080365e-08,1.579545933485924762e+19
1.160804020100502447e-08,1.579674814554014720e+19
1.175879396984924529e-08,1.579781455744428442e+19
1.190954773869346776e-08,1.579869393194078003e+19
1.206030150753768858e-08,1.579941657854411366e+19
1.221105527638190940e-08,1.580000837149279437e+19
1.236180904522613021e-08,1.580049130974823834e+19
1.251256281407035103e-08,1.580088402231624090e+19
1.266331658291457185e-08,1.580120222138117120e+19
1.281407035175879432e-08,1.580145910618454426e+19
1.296482412060301514e-08,1.580166572088635597e+19
1.311557788944723596e-08,1.580183126983783219e+19
1.326633165829145677e-08,1.580196339378269594e+19
1.341708542713567759e-08,1.580206841050762240e+19
1.356783919597989841e-08,1.580215152339566387e+19
1.371859296482412088e-08,1.580221700121520742e+19
1.386934673366834170e-08,1.580226833231190835e+19
1.402010050251256252e-08,1.580230835617730355e+19
1.417085427135678333e-08,1.580233937515199898e+19
1.432160804020100415e-08,1.580236324879568896e+19
1.447236180904522497e-08,1.580238147322577101e+19
1.462311557788944744e-08,1.580239524749842432e+19
1.477386934673366826e-08,1.580240552888442061e+19
1.492462311557788908e-08,1.580241307868145459e+19
1.507537688442211155e-08,1.580241850000652902e+19
1.522613065326633071e-08,1.580242226882861875e+19
1.537688442211055319e-08,1.580242475933445530e+19
1.552763819095477235e-08,1.580242626456837939e+19
1.567839195979899482e-08,1.580242701315130163e+19
1.582914572864321729e-08,1.580242718276314522e+19
1.597989949748743646e-08,1.580242691096735539e+19
1.613065326633165893e-08,1.580242630386308710e+19
1.628140703517587809e-08,1.580242544297089638e+19
1.643216080402010056e-08,1.580242439068877414e+19
1.658291457286431973e-08,1.580242319459671859e+19
1.673366834170854220e-08,1.580242189083819622e+19
1.688442211055276467e-08,1.580242050676523827e+19
1.703517587939698383e-08,1.580241906299858739e+19
1.718592964824120631e-08,1.580241757502555546e+19
1.733668341708542547e-08,1.580241605443409920e+19
1.748743718592964794e-08,1.580241450986189005e+19
1.763819095477387041e-08,1.580241294772325376e+19
1.778894472361808958e-08,1.580241137276350669e+19
1.793969849246231205e-08,1.580240978848004301e+19
1.809045226130653121e-08,1.580240819744079667e+19
1.824120603015075368e-08,1.580240660152428954e+19
1.839195979899497285e-08,1.580240500209941709e+19
1.854271356783919532e-08,1.580240340016005734e+19
1.869346733668341779e-08,1.580240179642510131e+19
1.884422110552763696e-08,1.580240019141254554e+19
1.899497487437185943e-08,1.580239858549429043e+19
1.914572864321607859e-08,1.580239697893630566e+19
1.929648241206030106e-08,1.580239537192812544e+19
1.944723618090452354e-08,1.580239376460427059e+19
1.959798994974874270e-08,1.580239215705990963e+19
1.974874371859296517e-08,1.580239054936206131e+19
1.989949748743718433e-08,1.580238894155782554e+19
2.005025125628140681e-08,1.580238733368009728e+19
2.020100502512562928e-08,1.580238572575181210e+19
2.035175879396984844e-08,1.580238411778889318e+19
2.050251256281407091e-08,1.580238250980234854e+19
2.065326633165829008e-08,1.580238090179976192e+19
2.080402010050251255e-08,1.580237929378632704e+19
2.095477386934673171e-08,1.580237768576561971e+19
2.110552763819095418e-08,1.580237607774006682e+19
2.125628140703517666e-08,1.580237446971130470e+19
2.140703517587939582e-08,1.580237286168045978e+19
2.155778894472361829e-08,1.580237125364827955e+19
2.170854271356783746e-08,1.580236964561525350e+19
2.185929648241205993e-08,1.580236803758174413e+19
2.201005025125628240e-08,1.580236642954794189e+19
2.216080402010050156e-08,1.580236482151402906e+19
2.231155778894472404e-08,1.580236321348009370e+19
2.246231155778894320e-08,1.580236160544619930e+19
2.261306532663316567e-08,1.580235999741238682e+19
2.276381909547738483e-08,1.580235838937869312e+19
2.291457286432160731e-08,1.580235678134510797e+19
2.306532663316582978e-08,1.580235517331168256e+19
2.321608040201004894e-08,1.580235356527840256e+19
2.336683417085427141e-08,1.580235195724528230e+19
2.351758793969849058e-08,1.580235034921230746e+19
2.366834170854271305e-08,1.580234874117949645e+19
2.381909547738693552e-08,1.580234713314684723e+19
2.396984924623115468e-08,1.580234552511435981e+19
2.412060301507537716e-08,1.580234391708203622e+19
2.427135678391959632e-08,1.580234230904987853e+19
2.442211055276381879e-08,1.580234070101786010e+19
2.457286432160804126e-08,1.580233909298603008e+19
2.472361809045226043e-08,1.580233748495435571e+19
2.487437185929648290e-08,1.580233587692284723e+19
2.502512562814070206e-08,1.580233426889149235e+19
2.517587939698492453e-08,1.580233266086032589e+19
2.532663316582914370e-08,1.580233105282928845e+19
2.547738693467336617e-08,1.580232944479843738e+19
2.562814070351758864e-08,1.580232783676773581e+19
2.577889447236180781e-08,1.580232622873719808e+19
2.592964824120603028e-08,1.580232462070683853e+19
2.608040201005024944e-08,1.580232301267663053e+19
2.623115577889447191e-08,1.580232140464659456e+19
2.638190954773869439e-08,1.580231979661672858e+19
2.653266331658291355e-08,1.580231818858700595e+19
2.668341708542713602e-08,1.580231658055743488e+19
2.683417085427135518e-08,1.580231497252804608e+19
