x,t=steady
6.783919597989949205e-09,1.494933953153978982e+19
6.934673366834170850e-09,1.504004403879293338e+19
7.085427135678391667e-09,1.512288465609777562e+19
7.236180904522612485e-09,1.519832309573067571e+19
7.386934673366834130e-09,1.526681923617578598e+19
7.537688442211055775e-09,1.532882800329921741e+19
7.688442211055276593e-09,1.538479650256647782e+19
7.839195979899497410e-09,1.543516142606914970e+19
7.989949748743718228e-09,1.548034675172381082e+19
8.140703517587939046e-09,1.552076174567954637e+19
8.291457286432159864e-09,1.555679927286910566e+19
8.442211055276382336e-09,1.558883441489622835e+19
8.592964824120603153e-09,1.561722338917733376e+19
8.743718592964823971e-09,1.564230275854329242e+19
8.894472361809044789e-09,1.566438891642076979e+19
9.045226130653265606e-09,1.568377782929841152e+19
9.195979899497486424e-09,1.570074501546223411e+19
9.346733668341708896e-09,1.571554573695793971e+19
9.497487437185929714e-09,1.572841538038587597e+19
9.648241206030150532e-09,1.573957000142333542e+19
9.798994974874371349e-09,1.574920700784837632e+19
9.949748743718592167e-09,1.575750595624907981e+19
1.010050251256281464e-08,1.576462943847560192e+19
1.025125628140703546e-08,1.577072403515325850e+19
1.040201005025125627e-08,1.577592131515161395e+19
1.055276381909547709e-08,1.578033886171846861e+19
1.070351758793969791e-08,1.578408130796880896e+19
1.085427135678391873e-08,1.578724136649865830e+19
1.100502512562814120e-08,1.578990084000923238e+19
1.115577889447236202e-08,1.579213160192547430e+19
1.130653266331658284e-08,1.579399653802532250e+19
1.145728643216080365e-08,1.579555044202492928e+19
1.160804020100502447e-08,1.579684085985967104e+19
1.175879396984924529e-08,1.579790887903749325e+19
1.190954773869346776e-08,1.579878986090663731e+19
1.206030150753768858e-08,1.579951411496416461e+19
1.221105527638190940e-08,1.580010751543389184e+19
1.236180904522613021e-08,1.580059206126507827e+19
1.251256281407035103e-08,1.580098638145337139e+19
1.266331658291457185e-08,1.580130618817475994e+19
1.281407035175879432e-08,1.580156468066386125e+19
1.296482412060301514e-08,1.580177290307497574e+19
1.311557788944723596e-08,1.580194005975465984e+19
1.326633165829145677e-08,1.580207379144290918e+19
1.341708542713567759e-08,1.580218041592326554e+19
1.356783919597989841e-08,1.580226513657632768e+19
1.371859296482412088e-08,1.580233222216843264e+19
1.386934673366834170e-08,1.580238516104364032e+19
1.402010050251256252e-08,1.580242679269219328e+19
1.417085427135678333e-08,1.580245941945366938e+19
1.432160804020100415e-08,1.580248490088691712e+19
1.447236180904522497e-08,1.580250473310871347e+19
1.462311557788944744e-08,1.580252011517468262e+19
1.477386934673366826e-08,1.580253200435522560e+19
1.492462311557788908e-08,1.580254116194772378e+19
1.507537688442211155e-08,1.580254819106892595e+19
1.522613065326633071e-08,1.580255356768758989e+19
1.537688442211055319e-08,1.580255766599032422e+19
1.552763819095477235e-08,1.580256077902135296e+19
1.567839195979899482e-08,1.580256313540148224e+19
1.582914572864321729e-08,1.580256491281058611e+19
1.597989949748743646e-08,1.580256624881204429e+19
1.613065326633165893e-08,1.580256724950499123e+19
1.628140703517587809e-08,1.580256799640992768e+19
1.643216080402010056e-08,1.580256855192485478e+19
1.658291457286431973e-08,1.580256896362971955e+19
1.673366834170854220e-08,1.580256926766800486e+19
1.688442211055276467e-08,1.580256949139169690e+19
1.703517587939698383e-08,1.580256965542157517e+19
1.718592964824120631e-08,1.580256977524489830e+19
1.733668341708542547e-08,1.580256986244965990e+19
1.748743718592964794e-08,1.580256992567350682e+19
1.763819095477387041e-08,1.580256997133077914e+19
1.778894472361808958e-08,1.580257000416676045e+19
1.793969849246231205e-08,1.580257002767887360e+19
1.809045226130653121e-08,1.580257004443506893e+19
1.824120603015075368e-08,1.580257005631379661e+19
1.839195979899497285e-08,1.580257006468402176e+19
1.854271356783919532e-08,1.580257007053958554e+19
1.869346733668341779e-08,1.580257007459938714e+19
1.884422110552763696e-08,1.580257007738143334e+19
1.899497487437185943e-08,1.580257007925762253e+19
1.914572864321607859e-08,1.580257008049391206e+19
1.929648241206030106e-08,1.580257008127984435e+19
1.944723618090452354e-08,1.580257008174996070e+19
1.959798994974874270e-08,1.580257008199938048e+19
1.974874371859296517e-08,1.580257008209519002e+19
1.989949748743718433e-08,1.580257008208440730e+19
2.005025125628140681e-08,1.580257008199998464e+19
2.020100502512562928e-08,1.580257008186483507e+19
2.035175879396984844e-08,1.580257008169487565e+19
2.050251256281407091e-08,1.580257008150113075e+19
2.065326633165829008e-08,1.580257008129117389e+19
2.080402010050251255e-08,1.580257008107021722e+19
2.095477386934673171e-08,1.580257008084182221e+19
2.110552763819095418e-08,1.580257008060842394e+19
2.125628140703517666e-08,1.580257008037165261e+19
2.140703517587939582e-08,1.580257008013263872e+19
2.155778894472361829e-08,1.580257007989211546e+19
