t (s), T (K), flux (H/m2/s)
2.050000000000000000e+03,3.000000000000009095e+02,9.477365505793464844e+12
2.055000000000000000e+03,3.199999999999998863e+02,6.046366805690905469e+13
2.055500000000000000e+03,3.219999999999997158e+02,7.114568189711529688e+13
2.056000000000000000e+03,3.239999999999998295e+02,8.301127435422218750e+13
2.056500000000000000e+03,3.259999999999988631e+02,9.597295493046825000e+13
2.057000000000000000e+03,3.279999999999992042e+02,1.098694691236206406e+14
2.057500000000000000e+03,3.299999999999990337e+02,1.244596104356413906e+14
2.058000000000000000e+03,3.319999999999984652e+02,1.394235697323028281e+14
2.058500000000000000e+03,3.339999999999989768e+02,1.543732152263305625e+14
2.059000000000000000e+03,3.359999999999989200e+02,1.688691477411701562e+14
2.059500000000000000e+03,3.379999999999993179e+02,1.824445267136026875e+14
2.060000000000000000e+03,3.399999999999994884e+02,1.946306023889426250e+14
2.060500000000000000e+03,3.419999999999992610e+02,2.049821744670007188e+14
2.061000000000000000e+03,3.439999999999986358e+02,2.131029505021558438e+14
2.061500000000000000e+03,3.459999999999982947e+02,2.186741750948055312e+14
2.062000000000000000e+03,3.479999999999986926e+02,2.214917071101572188e+14
2.062500000000000000e+03,3.499999999999980105e+02,2.215151903008020312e+14
2.063000000000000000e+03,3.520000000000016485e+02,2.189278752230213125e+14
2.063500000000000000e+03,3.540000000000016485e+02,2.141988459216215938e+14
2.064000000000000000e+03,3.560000000000018190e+02,2.081337870073368750e+14
2.064500000000000000e+03,3.580000000000018190e+02,2.018984227082623125e+14
2.065000000000000000e+03,3.600000000000011937e+02,1.970014859438742500e+14
2.065500000000000000e+03,3.620000000000013074e+02,1.952315144262052812e+14
2.066000000000000000e+03,3.640000000000011369e+02,1.985530906468110312e+14
2.066500000000000000e+03,3.660000000000010800e+02,2.089813547369419062e+14
2.067000000000000000e+03,3.680000000000010800e+02,2.284649703718695000e+14
2.067500000000000000e+03,3.700000000000016485e+02,2.588121362654516875e+14
2.068000000000000000e+03,3.720000000000009663e+02,3.016875673543047500e+14
2.068500000000000000e+03,3.740000000000007390e+02,3.586905741592373750e+14
2.069000000000000000e+03,3.760000000000007390e+02,4.315011979679795625e+14
2.069500000000000000e+03,3.780000000000003979e+02,5.220625272393628750e+14
2.070000000000000000e+03,3.800000000000003411e+02,6.327613763437728750e+14
2.070500000000000000e+03,3.819999999999996589e+02,7.665785708338650000e+14
2.071000000000000000e+03,3.840000000000007390e+02,9.271984193280362500e+14
2.071500000000000000e+03,3.860000000000003979e+02,1.119084747795070500e+15
2.072000000000000000e+03,3.880000000000002842e+02,1.347540406476290500e+15
2.072500000000000000e+03,3.899999999999993747e+02,1.618766725805533500e+15
2.073000000000000000e+03,3.919999999999996021e+02,1.939932591373080750e+15
2.073500000000000000e+03,3.939999999999997726e+02,2.319254773260810000e+15
2.074000000000000000e+03,3.959999999999987494e+02,2.766085218826868500e+15
2.074500000000000000e+03,3.979999999999987494e+02,3.290997813888603500e+15
2.075000000000000000e+03,3.999999999999979536e+02,3.905865589674666500e+15
2.075500000000000000e+03,4.019999999999990905e+02,4.623918240284635000e+15
2.076000000000000000e+03,4.039999999999981810e+02,5.459768411198760000e+15
2.076500000000000000e+03,4.059999999999990337e+02,6.429393427544043000e+15
2.077000000000000000e+03,4.079999999999986358e+02,7.550057232066119000e+15
2.077500000000000000e+03,4.099999999999986926e+02,8.840155760254540000e+15
2.078000000000000000e+03,4.119999999999972147e+02,1.031896836247502800e+16
2.078500000000000000e+03,4.139999999999983515e+02,1.200629884647209000e+16
2.079000000000000000e+03,4.159999999999979536e+02,1.392199297121957000e+16
2.079500000000000000e+03,4.180000000000019327e+02,1.608532545987705400e+16
2.080000000000000000e+03,4.200000000000009663e+02,1.851425932261995600e+16
2.080500000000000000e+03,4.220000000000015916e+02,2.122459361622295600e+16
2.081000000000000000e+03,4.240000000000009663e+02,2.422903224932658400e+16
2.081500000000000000e+03,4.260000000000006253e+02,2.753622485152725200e+16
2.082000000000000000e+03,4.280000000000008527e+02,3.114984907346076400e+16
2.082500000000000000e+03,4.300000000000013642e+02,3.506781940984466000e+16
2.083000000000000000e+03,4.320000000000003979e+02,3.928171800511112800e+16
2.083500000000000000e+03,4.340000000000011937e+02,4.377654554151951200e+16
2.084000000000000000e+03,4.360000000000002274e+02,4.853088367947897600e+16
2.084500000000000000e+03,4.380000000000020464e+02,5.351754407838772800e+16
2.085000000000000000e+03,4.399999999999996589e+02,5.870475298576114400e+16
2.085500000000000000e+03,4.420000000000009663e+02,6.405788511458129600e+16
2.086000000000000000e+03,4.439999999999992042e+02,6.954171252319252000e+16
2.086500000000000000e+03,4.460000000000007958e+02,7.512310398479374400e+16
2.087000000000000000e+03,4.480000000000007958e+02,8.077397311069296000e+16
2.087500000000000000e+03,4.500000000000002842e+02,8.647432238962131200e+16
2.088000000000000000e+03,4.520000000000011369e+02,9.221503694768641600e+16
2.088500000000000000e+03,4.539999999999993179e+02,9.800009591439342400e+16
2.089000000000000000e+03,4.560000000000001137e+02,1.038478252942361440e+17
2.089500000000000000e+03,4.579999999999994884e+02,1.097908633330747200e+17
2.090000000000000000e+03,4.600000000000007390e+02,1.158746390599144960e+17
2.090500000000000000e+03,4.619999999999978968e+02,1.221543835985464480e+17
2.091000000000000000e+03,4.639999999999993747e+02,1.286909743606126560e+17
2.091500000000000000e+03,4.659999999999982379e+02,1.355461907059039200e+17
2.092000000000000000e+03,4.680000000000005116e+02,1.427781477011796320e+17
2.092500000000000000e+03,4.699999999999977263e+02,1.504376893925570240e+17
2.093000000000000000e+03,4.720000000000000568e+02,1.585663279125917760e+17
2.093500000000000000e+03,4.739999999999980673e+02,1.671959497189448320e+17
2.094000000000000000e+03,4.759999999999991473e+02,1.763500889569506560e+17
2.094500000000000000e+03,4.779999999999965894e+02,1.860462337525271040e+17
2.095000000000000000e+03,4.800000000000030695e+02,1.962984911083595840e+17
2.095500000000000000e+03,4.820000000000008527e+02,2.071200101566500800e+17
2.096000000000000000e+03,4.840000000000023306e+02,2.185247825061954880e+17
2.096500000000000000e+03,4.859999999999993179e+02,2.305286890287998400e+17
2.097000000000000000e+03,4.880000000000024443e+02,2.431498494421110400e+17
2.097500000000000000e+03,4.899999999999999432e+02,2.564084166376298880e+17
2.098000000000000000e+03,4.920000000000012506e+02,2.703259600623919040e+17
2.098500000000000000e+03,4.940000000000004547e+02,2.849245456285364480e+17
2.099000000000000000e+03,4.960000000000023874e+02,3.002255811556629120e+17
