x (m), retention (H/m3)
0.000000000000000000e+00,4.396154931712387107e+24
4.285714285714285672e-07,1.948969597663772601e+25
8.571428571428571343e-07,1.938788109426276155e+25
1.285714285714285807e-06,9.710526319813465001e+22
1.714285714285714269e-06,9.488463588644822503e+22
2.142857142857142730e-06,9.266386015289450535e+22
2.571428571428571615e-06,9.044293604308211781e+22
3.000000000000000076e-06,8.822186360838835038e+22
5.000000000000000409e-06,7.785490028505210447e+22
