x (m), retention (H/m3)
0.000000000000000000e+00,4.396211732400515322e+24
4.285714285714285672e-07,1.948971240699389805e+25
8.571428571428571343e-07,1.938789716343534247e+25
1.285714285714285807e-06,9.712097606366637588e+22
1.714285714285714269e-06,9.489998887805678885e+22
2.142857142857142730e-06,9.267885327134999813e+22
2.571428571428571615e-06,9.045756928929878036e+22
3.000000000000000076e-06,8.823613698342002675e+22
5.000000000000000409e-06,7.786749427899659872e+22
