t (s), T (K), flux (H/m2/s)
2.108000000000000000e+03,5.319999999999985221e+02,6.692608652070462720e+17
2.109000000000000000e+03,5.359999999999971578e+02,7.118757587303340800e+17
2.110000000000000000e+03,5.399999999999971578e+02,7.512809611381848320e+17
2.111000000000000000e+03,5.439999999999962483e+02,7.863602424266410240e+17
2.112000000000000000e+03,5.479999999999997726e+02,8.159838214438499840e+17
2.113000000000000000e+03,5.519999999999987494e+02,8.390166528002374400e+17
2.114000000000000000e+03,5.559999999999984084e+02,8.543391405905324800e+17
2.115000000000000000e+03,5.599999999999995453e+02,8.608836732889212160e+17
2.116000000000000000e+03,5.639999999999980673e+02,8.576868413306076160e+17
2.117000000000000000e+03,5.679999999999986358e+02,8.439555907884326400e+17
2.118000000000000000e+03,5.719999999999970441e+02,8.191453400469132800e+17
2.119000000000000000e+03,5.759999999999974989e+02,7.830479487269916160e+17
2.120000000000000000e+03,5.800000000000025011e+02,7.358860725556318720e+17
2.121000000000000000e+03,5.840000000000023874e+02,6.784069459885009920e+17
2.122000000000000000e+03,5.880000000000022737e+02,6.119626516692111360e+17
2.123000000000000000e+03,5.920000000000025011e+02,5.385559609175150720e+17
2.124000000000000000e+03,5.960000000000009095e+02,4.608228722594876800e+17
2.125000000000000000e+03,6.000000000000018190e+02,3.819193845715850240e+17
2.126000000000000000e+03,6.040000000000022737e+02,3.052875439332193920e+17
2.127000000000000000e+03,6.080000000000026148e+02,2.343011124225683840e+17
2.128000000000000000e+03,6.120000000000032969e+02,1.718350831718538240e+17
2.129000000000000000e+03,6.160000000000013642e+02,1.198531199020316960e+17
2.130000000000000000e+03,6.200000000000017053e+02,7.913543989051432000e+16
2.131000000000000000e+03,6.240000000000018190e+02,4.924759828133554400e+16
2.132000000000000000e+03,6.280000000000003411e+02,2.877243035602870000e+16
2.133000000000000000e+03,6.320000000000002274e+02,1.572680938206523800e+16
2.134000000000000000e+03,6.360000000000007958e+02,8.018566875659662000e+15
2.135000000000000000e+03,6.399999999999997726e+02,3.804430895018838000e+15
2.136000000000000000e+03,6.439999999999994316e+02,1.676423454329350500e+15
2.137000000000000000e+03,6.479999999999996589e+02,6.851020993152966250e+14
2.138000000000000000e+03,6.519999999999977263e+02,2.594098388008892500e+14
2.139000000000000000e+03,6.559999999999984084e+02,9.096172682835751562e+13
2.140000000000000000e+03,6.599999999999980673e+02,2.953561042055443359e+13
2.141000000000000000e+03,6.639999999999969305e+02,8.883913299033082031e+12
2.142000000000000000e+03,6.679999999999979536e+02,2.477182343422720703e+12
2.143000000000000000e+03,6.719999999999978400e+02,6.410296406400495605e+11
2.144000000000000000e+03,6.759999999999986358e+02,1.541554553376423035e+11
2.145000000000000000e+03,6.799999999999989768e+02,3.450540776537869263e+10
2.146000000000000000e+03,6.839999999999985221e+02,7.201284489106966972e+09
2.147000000000000000e+03,6.879999999999972715e+02,1.403789675762304783e+09
2.148000000000000000e+03,6.919999999999965894e+02,2.560565872208915651e+08
2.149000000000000000e+03,6.959999999999973852e+02,4.377817132264874876e+07
2.150000000000000000e+03,6.999999999999960210e+02,7.026985761327222921e+06
