t (s), T (K), flux (H/m2/s)
2.068000000000000000e+03,4.439999999999992042e+02,8.122294813270575104e+18
2.068500000000000000e+03,4.480000000000007958e+02,8.322163857166166016e+18
2.069000000000000000e+03,4.520000000000011369e+02,8.484911884648406016e+18
2.069500000000000000e+03,4.560000000000001137e+02,8.607891872289017856e+18
2.070000000000000000e+03,4.600000000000007390e+02,8.689157200357549056e+18
2.070500000000000000e+03,4.639999999999993747e+02,8.727574017146312704e+18
2.071000000000000000e+03,4.680000000000005116e+02,8.722911769736913920e+18
2.071500000000000000e+03,4.720000000000000568e+02,8.675903748849272832e+18
2.072000000000000000e+03,4.759999999999991473e+02,8.588270071584132096e+18
2.072500000000000000e+03,4.800000000000030695e+02,8.462697594884875264e+18
2.073000000000000000e+03,4.840000000000023306e+02,8.302774886152627200e+18
2.073500000000000000e+03,4.880000000000024443e+02,8.112884545956066304e+18
2.074000000000000000e+03,4.920000000000012506e+02,7.898058598424718336e+18
2.074500000000000000e+03,4.960000000000023874e+02,7.663805990934918144e+18
2.075000000000000000e+03,5.000000000000009095e+02,7.415929316575339520e+18
2.075500000000000000e+03,5.040000000000015348e+02,7.160369596913141760e+18
2.076000000000000000e+03,5.079999999999993179e+02,6.903157637346962432e+18
2.076500000000000000e+03,5.120000000000000000e+02,6.650585004970809344e+18
2.077000000000000000e+03,5.160000000000007958e+02,6.409668520728101888e+18
2.077500000000000000e+03,5.199999999999984084e+02,6.188794028010937344e+18
2.078000000000000000e+03,5.239999999999992042e+02,5.998118824062269440e+18
2.078500000000000000e+03,5.279999999999978400e+02,5.849102980457217024e+18
2.079000000000000000e+03,5.319999999999985221e+02,5.752713400417534976e+18
2.079500000000000000e+03,5.359999999999971578e+02,5.716473299757368320e+18
2.080000000000000000e+03,5.399999999999971578e+02,5.741298628638462976e+18
2.080500000000000000e+03,5.439999999999962483e+02,5.819445213688558592e+18
2.081000000000000000e+03,5.479999999999997726e+02,5.934565862242714624e+18
2.081500000000000000e+03,5.519999999999987494e+02,6.064006176477576192e+18
