x,t=1.00e+00s,t=2.10e+00s,t=3.31e+00s,t=4.64e+00s,t=6.11e+00s,t=7.72e+00s,t=9.49e+00s,t=1.14e+01s,t=1.36e+01s,t=1.59e+01s,t=1.85e+01s,t=2.14e+01s,t=2.45e+01s,t=2.80e+01s,t=3.18e+01s,t=3.59e+01s,t=4.05e+01s,t=4.56e+01s,t=5.12e+01s,t=5.73e+01s,t=6.40e+01s,t=7.14e+01s,t=7.95e+01s,t=8.85e+01s,t=9.83e+01s,t=1.00e+02s
1.010101010101010134e-05,9.320237481049190400e+17,7.996655942860530688e+18,3.544885465804187648e+19,1.087223586567431782e+20,2.605212662808753275e+20,5.218847634803933184e+20,9.127274787466297999e+20,1.436173839235957129e+21,2.078265382505819931e+21,2.811918700350471668e+21,3.602818563848405516e+21,4.415160635955922600e+21,5.216036226922582114e+21,5.978111327487131648e+21,6.680798728038284001e+21,7.310344077923624944e+21,7.859251450254197785e+21,8.325376739978628825e+21,8.710898978188858229e+21,9.021283247859360072e+21,9.264288855199510954e+21,9.449049837006917468e+21,9.585250236487333577e+21,9.682420353759484838e+21,9.749381544170590568e+21,9.759596493684397310e+21
1.111111111111111164e-05,9.818990293314304000e+17,8.346203354396723200e+18,3.670195862727312998e+19,1.118012848050396692e+20,2.663807314728415724e+20,5.311346884405762458e+20,9.253881606023142441e+20,1.451670850509491667e+21,2.095617615491918201e+21,2.829998450700174492e+21,3.620577459887851176e+21,4.431770027639146807e+21,5.230939874855894385e+21,5.991014109331027132e+21,6.691620366245781570e+21,7.319161116309617377e+21,7.866241877631956943e+21,8.330774063063411720e+21,8.714957532390475432e+21,9.024253900590078231e+21,9.266403263848861663e+21,9.450511332505154486e+21,9.586229674180863853e+21,9.683055597644354159e+21,9.749779504020324352e+21,9.759958252993913029e+21
1.212121212121212025e-05,1.038450297806465152e+18,8.739652513440086016e+18,3.810371088871141376e+19,1.152276166172320891e+20,2.728736331204324557e+20,5.413494744721641964e+20,9.393315983506968412e+20,1.468702068641976549e+21,2.114657110778904576e+21,2.849812355743179342e+21,3.640022531725167952e+21,4.449944851448980832e+21,5.247240828030311989e+21,6.005122188535206511e+21,6.703450385260999606e+21,7.328798390504035189e+21,7.873881922494115348e+21,8.336672622261331558e+21,8.719392841157572559e+21,9.027500251952189538e+21,9.268713878313208119e+21,9.452108436631151706e+21,9.587299987814162104e+21,9.683749780616271364e+21,9.750214386919835435e+21,9.760353576568546656e+21
1.313131313131313056e-05,1.102264380119940352e+18,9.180152669516588032e+18,3.966261113336300339e+19,1.190167610946024735e+20,2.800210605062258360e+20,5.525522751247676867e+20,9.545787917206528983e+20,1.487283247137661649e+21,2.135393150621399908e+21,2.871363648460963709e+21,3.661152349000264319e+21,4.469680682561458143e+21,5.264933165554271781e+21,6.020429272712961065e+21,6.716282846037666693e+21,7.339250705434141524e+21,7.882167284094292984e+21,8.343069008898939683e+21,8.724202300993877049e+21,9.031020378890513154e+21,9.271219322729979183e+21,9.453840195661246497e+21,9.588460537263203287e+21,9.684502487175742358e+21,9.750685932469209793e+21,9.760782227677869244e+21
1.414141414141414086e-05,1.174007388863970304e+18,9.671241119256512512e+18,4.138811825002300211e+19,1.231857260632173281e+20,2.878461318385271112e+20,5.647683162804123730e+20,9.711524910666313892e+20,1.507431351170028012e+21,2.157835644277695709e+21,2.894655683740136112e+21,3.683965237363970933e+21,4.490972632163426501e+21,5.284010404789098643e+21,6.036928497665790968e+21,6.730111282024179302e+21,7.350512410634942939e+21,7.891093287624494809e+21,8.349959519210433413e+21,8.729383083636982546e+21,9.034812192593642783e+21,9.273918102752849822e+21,9.455705573781978218e+21,9.589710627321268929e+21,9.685313266074458784e+21,9.751193857865740714e+21,9.761243949225253798e+21
1.515151515151515116e-05,1.254432855078035200e+18,1.021687488809766093e+19,4.329070949983189402e+19,1.277531888005075599e+20,2.963740455201717617e+20,5.780249143557440799e+20,9.890771847858268406e+20,1.529164527687369228e+21,2.181995095268357833e+21,2.919691912178571936e+21,3.708459262238118117e+21,4.513815340448683655e+21,5.304465501040185180e+21,6.054612431017770746e+21,6.744928704549183554e+21,7.362577405939142361e+21,7.900654889405555671e+21,8.357340158678260515e+21,8.734932139476006207e+21,9.038873441062314050e+21,9.276808607406989771e+21,9.457703454382898545e+21,9.591049508569160352e+21,9.686181630880990102e+21,9.751737858258758533e+21,9.761738464070490653e+21
1.616161616161616147e-05,1.344390951640559616e+18,1.082146611293338010e+19,4.538194557673671066e+19,1.327395701290760274e+20,3.056321338896298803e+20,5.923514931799422403e+20,1.008379082501219942e+21,1.552502069898342564e+21,2.207882562920601354e+21,2.946475848828931539e+21,3.734632208433419387e+21,4.538202966374741967e+21,5.326290844772298916e+21,6.073473073974961242e+21,6.760727606790477316e+21,7.375439146098015338e+21,7.910846681273874776e+21,8.365206645774561051e+21,8.740846200528498065e+21,9.043201711359262720e+21,9.279889110719516377e+21,9.459832641194670686e+21,9.592476378141879697e+21,9.687107060479333237e+21,9.752317607062292922e+21,9.762265475314154996e+21
1.717171717171717008e-05,1.444838931567989248e+18,1.148992145421417267e+19,4.767454193635387802e+19,1.381671142269012869e+20,3.156499195734732308e+20,6.077795997721734676e+20,1.029086094492177924e+21,1.577464376917606007e+21,2.235509619203670802e+21,2.975011037992944402e+21,3.762481556740068868e+21,4.564129175222346580e+21,5.349478257276209857e+21,6.093501862004387742e+21,6.777499966987940397e+21,7.389090644867962372e+21,7.921662894586350010e+21,8.373554415428123492e+21,8.747121783220309328e+21,9.047794431719056081e+21,9.283157773251781853e+21,9.462091859359929729e+21,9.593990380450492711e+21,9.688088999538567676e+21,9.752932756249838092e+21,9.762824666565503353e+21
1.818181818181818207e-05,1.556852920435591680e+18,1.222768589210263757e+19,5.018244677031921254e+19,1.440599743222197617e+20,3.264591744148916142e+20,6.243429189766047334e+20,1.051227807506908578e+21,1.604072908937613541e+21,2.264888301401023971e+21,3.005301014700612911e+21,3.792004458132931609e+21,4.591587124554854040e+21,5.374018985312769802e+21,6.114689664879049048e+21,6.795237251268306010e+21,7.403524478858252255e+21,7.933097404075715068e+21,8.382378622395099382e+21,8.753755191101848814e+21,9.052648873615063777e+21,9.286612643602753389e+21,9.464479756484788355e+21,9.595590607891249234e+21,9.689126858974241489e+21,9.753582936643774448e+21,9.763415702205810868e+21
1.919191919191919068e-05,1.681641219827418624e+18,1.304079129384247091e+19,5.292092601216464486e+19,1.504443043942329876e+20,3.380939808369129554e+20,6.420772867604105134e+20,1.074835456902708986e+21,1.632350138075713896e+21,2.296031060927736185e+21,3.037349263261755245e+21,3.823197705989385093e+21,4.620569448944929079e+21,5.399903695052878119e+21,6.137026786354322735e+21,6.813930416297172009e+21,7.418732791311293743e+21,7.945143731689596387e+21,8.391674144635090895e+21,8.760742517576622408e+21,9.057762153839017853e+21,9.290251659922851758e+21,9.466994903698081055e+21,9.597276101560082891e+21,9.690220016413314122e+21,9.754267758207208260e+21,9.764038227653602312e+21
