x,t=1.00e+01s,t=2.10e+01s,t=3.31e+01s,t=4.64e+01s,t=6.11e+01s,t=7.72e+01s,t=9.49e+01s,t=1.14e+02s,t=1.36e+02s,t=1.59e+02s,t=1.85e+02s,t=2.14e+02s,t=2.45e+02s,t=2.80e+02s,t=3.18e+02s,t=3.59e+02s,t=4.05e+02s,t=4.56e+02s,t=5.12e+02s,t=5.73e+02s,t=6.40e+02s,t=7.14e+02s,t=7.95e+02s,t=8.85e+02s,t=9.83e+02s,t=1.09e+03s,t=1.21e+03s,t=1.34e+03s,t=1.49e+03s,t=1.64e+03s,t=1.82e+03s,t=2.01e+03s,t=2.22e+03s,t=2.45e+03s,t=2.71e+03s,t=2.99e+03s,t=3.30e+03s,t=3.64e+03s,t=4.01e+03s,t=4.43e+03s,t=4.88e+03s,t=5.38e+03s,t=5.92e+03s,t=6.53e+03s,t=7.19e+03s,t=7.92e+03s,t=8.72e+03s,t=9.60e+03s,t=1.00e+04s
1.202020202020202041e-03,2.844408338121851142e+21,1.170154602257854759e+22,2.714522712743818455e+22,4.757145149867030479e+22,7.080363156844247515e+22,9.505616854849828579e+22,1.191570233689478152e+23,1.424393702936119314e+23,1.645725881780840432e+23,1.854271572003234628e+23,2.049858707809347127e+23,2.232903976095759425e+23,2.404105935581949219e+23,2.564274252699749780e+23,2.714237587723303246e+23,2.854796087802263817e+23,2.986698846337343360e+23,3.110635126715716395e+23,3.227232994418901176e+23,3.337061765452562925e+23,3.440636254264613080e+23,3.538421703237042805e+23,3.630838789139293945e+23,3.718268394134197764e+23,3.801055993024955202e+23,3.879515596340429062e+23,3.953933228163838425e+23,4.024569921112847742e+23,4.091664183298467006e+23,4.155433837017520312e+23,4.216077057240717947e+23,4.273772375903005919e+23,4.328677409909750618e+23,4.380926170056333176e+23,4.430625054238108528e+23,4.477848016508971815e+23,4.522631861950163043e+23,4.564973010441531440e+23,4.604827237998727916e+23,4.642113714245570291e+23,4.676724074293984829e+23,4.708536380723868981e+23,4.737432839068132175e+23,4.763319266871635985e+23,4.786143792232314878e+23,4.805912194473781268e+23,4.822697705498482500e+23,4.836643872847531889e+23,4.842138754782781097e+23
1.222222222222222199e-03,1.671006277721786417e+21,7.469463288131354624e+21,1.857372602235652512e+22,3.445559477499410671e+22,5.370129223441416664e+22,7.483069164781461884e+22,9.667850433920113836e+22,1.184548680385862188e+23,1.396756153352741831e+23,1.600701647875770029e+23,1.795057074437240379e+23,1.979340030394480953e+23,2.153567096720605577e+23,2.318036534807598926e+23,2.473195204108648060e+23,2.619558465228819829e+23,2.757662855091766931e+23,2.888038847870483258e+23,3.011195848649683218e+23,3.127614585038555924e+23,3.237743924763823346e+23,3.342000292957948446e+23,3.440768567876572666e+23,3.534403768311624394e+23,3.623233113326300745e+23,3.707558196742017159e+23,3.787657110274199205e+23,3.863786388678227442e+23,3.936182646420967428e+23,4.005063735017133352e+23,4.070629187409750325e+23,4.133059660906248284e+23,4.192515092314031475e+23,4.249131396056517863e+23,4.303015810253264855e+23,4.354241420574616023e+23,4.402841888656073781e+23,4.448807834603349910e+23,4.492086497497386330e+23,4.532586087382247612e+23,4.570185611585771106e+23,4.604750003446776007e+23,4.636149310607379661e+23,4.664279769922113351e+23,4.689084032756288607e+23,4.710567738777251265e+23,4.728810077107677026e+23,4.743966821274841629e+23,4.749938704800167903e+23
1.242424242424242358e-03,9.818056470041046548e+20,4.747205244839032521e+21,1.261914485969310345e+22,2.474832586365228758e+22,4.037974806827579421e+22,5.842016968372013289e+22,7.783756781682617955e+22,9.782328475758895720e+22,1.178078519189255467e+23,1.374186429387556038e+23,1.564270716444643332e+23,1.747034943787529090e+23,1.921836649946472272e+23,2.088453826238217317e+23,2.246927954587282980e+23,2.397460578174116162e+23,2.540345995481521722e+23,2.675927892076554963e+23,2.804571691042596004e+23,2.926647177680880633e+23,3.042517821343626932e+23,3.152534450640439057e+23,3.257031746257128532e+23,3.356326543268045086e+23,3.450717278348521515e+23,3.540484138254268094e+23,3.625889601707430642e+23,3.707179138234931678e+23,3.784581845533379537e+23,3.858310780674944595e+23,3.928562686892836787e+23,3.995516770810706526e+23,4.059332198394222262e+23,4.120144113770461921e+23,4.178058287479075845e+23,4.233144961323004340e+23,4.285432990608636384e+23,4.334905834481835605e+23,4.381501126229504253e+23,4.425115324054109327e+23,4.465614263260563479e+23,4.502849407105910471e+23,4.536678448356643192e+23,4.566987920896828469e+23,4.593714881205256208e+23,4.616864652334177714e+23,4.636522097514107005e+23,4.652854800472912282e+23,4.659290052538180986e+23
1.262626262626262734e-03,5.769422047488795607e+20,3.005592425958725386e+21,8.519664331401179693e+21,1.764159998673065660e+22,3.012134510590107111e+22,4.525301462466222778e+22,6.220949262519714290e+22,8.024345239313245956e+22,9.876306282067821750e+22,1.173356066514616818e+23,1.356618670809494155e+23,1.535444911370114223e+23,1.708598703330256004e+23,1.875361101335044020e+23,2.035368091139597843e+23,2.188495093498268384e+23,2.334776266176310888e+23,2.474348740326077005e+23,2.607414359349503543e+23,2.734213572039804642e+23,2.855007721497792327e+23,2.970067120058855137e+23,3.079663107766910546e+23,3.184062850829646027e+23,3.283526019454323518e+23,3.378302742848363372e+23,3.468632406439679272e+23,3.554742952231812014e+23,3.636850378843312808e+23,3.715158123394186210e+23,3.789855962124824651e+23,3.861118027787490506e+23,3.929099567081062861e+23,3.993932216509015681e+23,4.055717905586015049e+23,4.114521991585174829e+23,4.170366798136462017e+23,4.223227204423706623e+23,4.273030117497204187e+23,4.319659407229042630e+23,4.362967156329680114e+23,4.402790988588079540e+23,4.438976023439244211e+23,4.471398953943329155e+23,4.499991112430113312e+23,4.524757320271088834e+23,4.545787825289390153e+23,4.563261599927406596e+23,4.570146481790403834e+23
1.282828282828282892e-03,3.390756173762708767e+20,1.896551316015649391e+21,5.719568255574594290e+21,1.248907284852515851e+22,2.230359834661452199e+22,3.479686667471874005e+22,4.937277454518918840e+22,6.539844715707091858e+22,8.231150160042946200e+22,9.965913023205897719e+22,1.170987412689204019e+23,1.343822999091740651e+23,1.513366500838025692e+23,1.678452925360146722e+23,1.838334228260437455e+23,1.992563663553466330e+23,2.140909321482627816e+23,2.283290710517710481e+23,2.419732755785291263e+23,2.550332649283725159e+23,2.675236059249978575e+23,2.794620107707160335e+23,2.908681226025742327e+23,3.017626520962634487e+23,3.121667663421719278e+23,3.221016581235136308e+23,3.315882419290112671e+23,3.406469340198559180e+23,3.492974785513331108e+23,3.575587811181679943e+23,3.654487071958562578e+23,3.729837997950233267e+23,3.801788743501099177e+23,3.870464663107056320e+23,3.935961427313612827e+23,3.998337420105036260e+23,4.057606659512627846e+23,4.113733979270594397e+23,4.166634397390161586e+23,4.216178322131105350e+23,4.262203472588176611e+23,4.304533239685177567e+23,4.342999932982017435e+23,4.377470253721610753e+23,4.407869671401594489e+23,4.434202313677648618e+23,4.456563517806501597e+23,4.475143218278098985e+23,4.482463889537223361e+23
1.303030303030303051e-03,1.993042199205936824e+20,1.193184676906467066e+21,3.820304821755111801e+21,8.785822175228069937e+21,1.640214118299536982e+22,2.657263791315008828e+22,3.892533673802941963e+22,5.296971988902298098e+22,6.821076501456621876e+22,8.421013084117403697e+22,1.006084429747229683e+23,1.171255068825420887e+23,1.335506079681039051e+23,1.497298812475972644e+23,1.655541181430180652e+23,1.809483136403861752e+23,1.958632317574689703e+23,2.102688275405491625e+23,2.241492184862258616e+23,2.374988858214436527e+23,2.503198249328143038e+23,2.626194165438683011e+23,2.744088401565293792e+23,2.857018933421708275e+23,2.965141137078067952e+23,3.068621254038137162e+23,3.167631497876257311e+23,3.262346309827769391e+23,3.352939320521783582e+23,3.439580571665443230e+23,3.522433515847831498e+23,3.601651286913704872e+23,3.677371781679126141e+23,3.749711287314054612e+23,3.818756774000698306e+23,3.884557532643464944e+23,3.947117467090556908e+23,4.006389865027099207e+23,4.062276659533692744e+23,4.114633894661105480e+23,4.163284290337487664e+23,4.208036591777054101e+23,4.248710047437075220e+23,4.285161205058236989e+23,4.317309524901792370e+23,4.345158243051873512e+23,4.368807486168176976e+23,4.388457719476510356e+23,4.396200242587369304e+23
1.323232323232323209e-03,1.171629789759058248e+20,7.486854689129364193e+20,2.540031015670827188e+21,6.145043278724763484e+21,1.198575731835756610e+22,2.016103188511014152e+22,3.049551087617755526e+22,4.264820132454814292e+22,5.621514282167004928e+22,7.079953315002955543e+22,8.604901792672027718e+22,1.016696167950082931e+23,1.174261165334538549e+23,1.331359966843009468e+23,1.486611067500112327e+23,1.638992818659794931e+23,1.787768595310083750e+23,1.932424026759194235e+23,2.072616181821445379e+23,2.208133299066981780e+23,2.338863286955097561e+23,2.464769278893200475e+23,2.585870752591890340e+23,2.702228985251310925e+23,2.813935859864846352e+23,2.921105240521287601e+23,3.023866287283145749e+23,3.122358179968906103e+23,3.216725763568901103e+23,3.307115621417819581e+23,3.393672046134120541e+23,3.476532356365231598e+23,3.555821065964350048e+23,3.631642624198966038e+23,3.704072856840427945e+23,3.773149827823347402e+23,3.838865497420443995e+23,3.901160082913358984e+23,3.959921212747336531e+23,4.014989642344648713e+23,4.066172438321332339e+23,4.113263272466225625e+23,4.156068069635662985e+23,4.194433054146558322e+23,4.228271524604249626e+23,4.257585623001144387e+23,4.282479961280340946e+23,4.303165099997614341e+23,4.311315445237789565e+23
1.343434343434343585e-03,6.888373200599399629e+19,4.686612384560412754e+20,1.681785508519688798e+21,4.275260164141442662e+21,8.706927087830383460e+21,1.520351390660994426e+22,2.374851924897714877e+22,3.414244382128539592e+22,4.608327507248025908e+22,5.923458705957337851e+22,7.327065131291212618e+22,8.790059862651421747e+22,1.028778355288088259e+23,1.180006788269039220e+23,1.331085273736202630e+23,1.480762544812183341e+23,1.628083047134396919e+23,1.772332191826937412e+23,1.912988774013338607e+23,2.049685140606209103e+23,2.182174601472610623e+23,2.310305148186163937e+23,2.433998451199982667e+23,2.553233168606937701e+23,2.668031720595278728e+23,2.778449812199429353e+23,2.884568095403635355e+23,2.986485433859879993e+23,3.084313260568115686e+23,3.178170502248500434e+23,3.268178503174234340e+23,3.354455360429737682e+23,3.437109149989258354e+23,3.516229752398485169e+23,3.591879422705643028e+23,3.664082866575934184e+23,3.732818264221057559e+23,3.798011225691614599e+23,3.859533840517778500e+23,3.917210636725751036e+23,3.970832360806792403e+23,4.020177173109542759e+23,4.065037404531416482e+23,4.105248780261543756e+23,4.140718280521170540e+23,4.171446747186336346e+23,4.197542970065340093e+23,4.219227166106494163e+23,4.227771216955241168e+23
1.363636363636363744e-03,4.050360965851348173e+19,2.927445647615241093e+20,1.109312267439456780e+21,2.959904758832240787e+21,6.290376559855397765e+21,1.139951301718316365e+22,1.838933535745505650e+22,2.718406541276283404e+22,3.758408512566528364e+22,4.932420610655262029e+22,6.212001725526504269e+22,7.569822369298489593e+22,8.981317559262027710e+22,1.042536567975852166e+23,1.188436914907690209e+23,1.334401306702251033e+23,1.479288011019343804e+23,1.622202602968547716e+23,1.762457113037484421e+23,1.899533331614553101e+23,2.033051139445114819e+23,2.162741845538848427e+23,2.288426095290082761e+23,2.409995752573308334e+23,2.527399134172533364e+23,2.640629008370303878e+23,2.749712816756428919e+23,2.854704610864609939e+23,2.955678196267665924e+23,3.052720943178030892e+23,3.145927672119056631e+23,3.235394000699856603e+23,3.321208612071736198e+23,3.403444151146050172e+23,3.482146913502119875e+23,3.557326134162878072e+23,3.628944383196400378e+23,3.696911125270357323e+23,3.761081671303504677e+23,3.821263376236734212e+23,3.877229992853948974e+23,3.928743726302155694e+23,3.975583038699456755e+23,4.017572977065710154e+23,4.054614043903134165e+23,4.086705572602171265e+23,4.113960220914755117e+23,4.136607420285346004e+23,4.145530979187106681e+23
1.383838383838383902e-03,2.381881226188030362e+19,1.825060200696848712e+20,7.291721444656186655e+20,2.040016683198778180e+21,4.521294703789892698e+21,8.501326224330848207e+21,1.416281168885389984e+22,2.153088197554113767e+22,3.050107461124395264e+22,4.088327750509648885e+22,5.244404564366630846e+22,6.493910910514459417e+22,7.813463735611219667e+22,9.181908627286176406e+22,1.058083423169628078e+23,1.199466204605061477e+23,1.341049534750247533e+23,1.481785019028053384e+23,1.620834412606514214e+23,1.757538565310837078e+23,1.891388650867206117e+23,2.022000633037306043e+23,2.149093205398504457e+23,2.272469061952017929e+23,2.391999173583456111e+23,2.507609670332447761e+23,2.619270902439321975e+23,2.726988234921793479e+23,2.830794096542530079e+23,2.930740746836337125e+23,3.026893160213450158e+23,3.119321398879053635e+23,3.208091926058127222e+23,3.293257571112695743e+23,3.374846338104785738e+23,3.452849913847852313e+23,3.527213447787097935e+23,3.597828730690299431e+23,3.664533058788652462e+23,3.727115668674256526e+23,3.785332644915661179e+23,3.838929792466221070e+23,3.887671428753809536e+23,3.931371742677718322e+23,3.969924598770931409e+23,4.003327612380500093e+23,4.031696997574396137e+23,4.055270956018302850e+23,4.064559750500944770e+23
1.404040404040404061e-03,1.400858803889383219e+19,1.135797652245054915e+20,4.777758235748458824e+20,1.400157430584376820e+21,3.234233689492849951e+21,6.307855264504181948e+21,1.085188761710924241e+22,1.696816427416908150e+22,2.463514670190949722e+22,3.373596211494418540e+22,4.409306215395401872e+22,5.549940667414914636e+22,6.774197091549078513e+22,8.061721111047364516e+22,9.393989509130385936e+22,1.075471496179830458e+23,1.212993858712115683e+23,1.350793697470590222e+23,1.487903125913515820e+23,1.623535453661861144e+23,1.757061150643168278e+23,1.887984922539756985e+23,2.015924834779524938e+23,2.140593845383988207e+23,2.261783772079147178e+23,2.379351530801952436e+23,2.493207373732843639e+23,2.603304777844701518e+23,2.709631558884520005e+23,2.812201699054957646e+23,2.911047293535686241e+23,3.006209986050109787e+23,3.097731346679819697e+23,3.185641918172173330e+23,3.269949156017354624e+23,3.350625171379135059e+23,3.427595915034704027e+23,3.500733995684787902e+23,3.569857471291615200e+23,3.634736522498912939e+23,3.695108895995829514e+23,3.750703554782792201e+23,3.801270397930669469e+23,3.846612577759276428e+23,3.886617161342457982e+23,3.921279836385633590e+23,3.950720060736020886e+23,3.975184360213126253e+23,3.984824049333506796e+23
