x,t=steady
0.000000000000000000e+00,4.999999999999997224e-01
1.020408163265306041e-02,4.999999999999992228e-01
2.040816326530612082e-02,4.999999999999993894e-01
3.061224489795918297e-02,4.999999999999986122e-01
4.081632653061224164e-02,4.999999999999984457e-01
5.102040816326530032e-02,4.999999999999977796e-01
6.122448979591836593e-02,4.999999999999974465e-01
7.142857142857142461e-02,4.999999999999972800e-01
8.163265306122448328e-02,4.999999999999968914e-01
9.183673469387754196e-02,4.999999999999967248e-01
1.020408163265306006e-01,4.999999999999958922e-01
1.122448979591836593e-01,4.999999999999960587e-01
1.224489795918367319e-01,4.999999999999959477e-01
1.326530612244897767e-01,4.999999999999957812e-01
1.428571428571428492e-01,4.999999999999953926e-01
1.530612244897958940e-01,4.999999999999952816e-01
1.632653061224489666e-01,4.999999999999950040e-01
1.734693877551020391e-01,4.999999999999950595e-01
1.836734693877550839e-01,4.999999999999948930e-01
1.938775510204081565e-01,4.999999999999950595e-01
2.040816326530612013e-01,4.999999999999947264e-01
2.142857142857142738e-01,4.999999999999947264e-01
2.244897959183673186e-01,4.999999999999948930e-01
2.346938775510203912e-01,4.999999999999947264e-01
2.448979591836734637e-01,4.999999999999947264e-01
2.551020408163265363e-01,4.999999999999950595e-01
2.653061224489795533e-01,4.999999999999947820e-01
2.755102040816326259e-01,4.999999999999950595e-01
2.857142857142856984e-01,4.999999999999950595e-01
2.959183673469387710e-01,4.999999999999950595e-01
3.061224489795917880e-01,4.999999999999949485e-01
3.163265306122448606e-01,4.999999999999948930e-01
3.265306122448979331e-01,4.999999999999945599e-01
3.367346938775510057e-01,4.999999999999947264e-01
3.469387755102040782e-01,4.999999999999947264e-01
3.571428571428570953e-01,4.999999999999945044e-01
3.673469387755101678e-01,4.999999999999947264e-01
3.775510204081632404e-01,4.999999999999941158e-01
3.877551020408163129e-01,4.999999999999942824e-01
3.979591836734693300e-01,4.999999999999942824e-01
4.081632653061224025e-01,4.999999999999943934e-01
4.183673469387754751e-01,4.999999999999942268e-01
4.285714285714285476e-01,4.999999999999942268e-01
4.387755102040816202e-01,4.999999999999941158e-01
4.489795918367346372e-01,4.999999999999936717e-01
4.591836734693877098e-01,4.999999999999938938e-01
4.693877551020407823e-01,4.999999999999933942e-01
4.795918367346938549e-01,4.999999999999935607e-01
4.897959183673469274e-01,4.999999999999931166e-01
5.000000000000000000e-01,1.666666666666642427e-01
5.102040816326530726e-01,0.000000000000000000e+00
5.204081632653061451e-01,0.000000000000000000e+00
5.306122448979592177e-01,0.000000000000000000e+00
5.408163265306122902e-01,0.000000000000000000e+00
5.510204081632652517e-01,0.000000000000000000e+00
5.612244897959183243e-01,0.000000000000000000e+00
5.714285714285713969e-01,0.000000000000000000e+00
5.816326530612244694e-01,0.000000000000000000e+00
5.918367346938775420e-01,0.000000000000000000e+00
6.020408163265306145e-01,0.000000000000000000e+00
6.122448979591836871e-01,0.000000000000000000e+00
6.224489795918367596e-01,0.000000000000000000e+00
6.326530612244898322e-01,0.000000000000000000e+00
6.428571428571427937e-01,0.000000000000000000e+00
6.530612244897958663e-01,0.000000000000000000e+00
6.632653061224489388e-01,0.000000000000000000e+00
6.734693877551020114e-01,0.000000000000000000e+00
6.836734693877550839e-01,0.000000000000000000e+00
6.938775510204081565e-01,0.000000000000000000e+00
7.040816326530612290e-01,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00
7.244897959183673741e-01,0.000000000000000000e+00
7.346938775510203357e-01,0.000000000000000000e+00
7.448979591836735192e-01,0.000000000000000000e+00
7.551020408163264808e-01,0.000000000000000000e+00
7.653061224489795533e-01,0.000000000000000000e+00
7.755102040816326259e-01,0.000000000000000000e+00
7.857142857142856984e-01,0.000000000000000000e+00
7.959183673469387710e-01,0.000000000000000000e+00
8.061224489795917325e-01,0.000000000000000000e+00
8.163265306122449161e-01,0.000000000000000000e+00
8.265306122448978776e-01,0.000000000000000000e+00
8.367346938775510612e-01,0.000000000000000000e+00
8.469387755102040227e-01,0.000000000000000000e+00
8.571428571428570953e-01,0.000000000000000000e+00
8.673469387755101678e-01,0.000000000000000000e+00
8.775510204081632404e-01,0.000000000000000000e+00
8.877551020408163129e-01,0.000000000000000000e+00
8.979591836734692745e-01,0.000000000000000000e+00
9.081632653061224580e-01,0.000000000000000000e+00
9.183673469387754196e-01,0.000000000000000000e+00
9.285714285714286031e-01,0.000000000000000000e+00
9.387755102040815647e-01,0.000000000000000000e+00
9.489795918367346372e-01,0.000000000000000000e+00
9.591836734693877098e-01,0.000000000000000000e+00
9.693877551020407823e-01,0.000000000000000000e+00
9.795918367346938549e-01,0.000000000000000000e+00
9.897959183673469274e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
