x (m), retention (H/m3)
0.000000000000000000e+00,2.451619761725553437e+25
4.285714285714285672e-07,3.723755243860140611e+25
8.571428571428571343e-07,3.662804352420201740e+25
1.285714285714285807e-06,1.081782185155016662e+25
1.714285714285714269e-06,1.019336015104902185e+25
2.142857142857142730e-06,9.565669328867011915e+24
2.571428571428571615e-06,8.938100621030814934e+24
3.000000000000000076e-06,8.314209947321167803e+24
5.000000000000000409e-06,5.560214813923151228e+24
