t (s), T (K), flux (H/m2/s)
2.050000000000000000e+03,3.000000000000009095e+02,1.493886669065386250e+15
2.051000000000000000e+03,3.040000000000013074e+02,2.300569546949616500e+15
2.052000000000000000e+03,3.080000000000006821e+02,3.483287475942633000e+15
2.053000000000000000e+03,3.120000000000009095e+02,5.174970606377649000e+15
2.054000000000000000e+03,3.160000000000001137e+02,7.524976396811778000e+15
2.055000000000000000e+03,3.199999999999998863e+02,1.067814546497534200e+16
2.056000000000000000e+03,3.239999999999998295e+02,1.474281113873105000e+16
2.057000000000000000e+03,3.279999999999992042e+02,1.975916032345482800e+16
2.058000000000000000e+03,3.319999999999984652e+02,2.569138097246569600e+16
2.059000000000000000e+03,3.359999999999989200e+02,3.246364414171592800e+16
2.060000000000000000e+03,3.399999999999994884e+02,4.002890947481442400e+16
2.061000000000000000e+03,3.439999999999986358e+02,4.842319778269780000e+16
2.062000000000000000e+03,3.479999999999986926e+02,5.776538622623228000e+16
2.063000000000000000e+03,3.520000000000016485e+02,6.821602557225483200e+16
2.064000000000000000e+03,3.560000000000018190e+02,7.994090856870435200e+16
2.065000000000000000e+03,3.600000000000011937e+02,9.310055204292313600e+16
2.066000000000000000e+03,3.640000000000011369e+02,1.078534068905490880e+17
2.067000000000000000e+03,3.680000000000010800e+02,1.243588134966783520e+17
2.068000000000000000e+03,3.720000000000009663e+02,1.427777727456441920e+17
2.069000000000000000e+03,3.760000000000007390e+02,1.632734467045488320e+17
2.070000000000000000e+03,3.800000000000003411e+02,1.860114488671682240e+17
2.071000000000000000e+03,3.840000000000007390e+02,2.111592350449868480e+17
2.072000000000000000e+03,3.880000000000002842e+02,2.388844799674437440e+17
2.073000000000000000e+03,3.919999999999996021e+02,2.693527106579720640e+17
2.074000000000000000e+03,3.959999999999987494e+02,3.027244131035611520e+17
2.075000000000000000e+03,3.999999999999979536e+02,3.391516291053889280e+17
2.076000000000000000e+03,4.039999999999981810e+02,3.787738948422241280e+17
2.077000000000000000e+03,4.079999999999986358e+02,4.217133211989308160e+17
2.078000000000000000e+03,4.119999999999972147e+02,4.680687026914549760e+17
2.079000000000000000e+03,4.159999999999979536e+02,5.179086736383100800e+17
2.080000000000000000e+03,4.200000000000009663e+02,5.712639710551022720e+17
2.081000000000000000e+03,4.240000000000009663e+02,6.281188237187828480e+17
2.082000000000000000e+03,4.280000000000008527e+02,6.884015450065073920e+17
2.083000000000000000e+03,4.320000000000003979e+02,7.519747358430592000e+17
2.084000000000000000e+03,4.360000000000002274e+02,8.186261290010430720e+17
2.085000000000000000e+03,4.399999999999996589e+02,8.880618836881626880e+17
2.086000000000000000e+03,4.439999999999992042e+02,9.599047265652846080e+17
2.087000000000000000e+03,4.480000000000007958e+02,1.033699144196172544e+18
2.088000000000000000e+03,4.520000000000011369e+02,1.108924244144255232e+18
2.089000000000000000e+03,4.560000000000001137e+02,1.185012010369356032e+18
2.090000000000000000e+03,4.600000000000007390e+02,1.261366185369200896e+18
2.091000000000000000e+03,4.639999999999993747e+02,1.337377879433637888e+18
2.092000000000000000e+03,4.680000000000005116e+02,1.412439681483768576e+18
2.093000000000000000e+03,4.720000000000000568e+02,1.485967258814921216e+18
2.094000000000000000e+03,4.759999999999991473e+02,1.557439743047350784e+18
2.095000000000000000e+03,4.800000000000030695e+02,1.626465095980934912e+18
2.096000000000000000e+03,4.840000000000023306e+02,1.692869463382410752e+18
2.097000000000000000e+03,4.880000000000024443e+02,1.756806839877339648e+18
2.098000000000000000e+03,4.920000000000012506e+02,1.818885424965498112e+18
2.099000000000000000e+03,4.960000000000023874e+02,1.880299269505418496e+18
2.100000000000000000e+03,5.000000000000009095e+02,1.942927496374138368e+18
2.101000000000000000e+03,5.040000000000015348e+02,2.009319960683661568e+18
2.102000000000000000e+03,5.079999999999993179e+02,2.082453306193231360e+18
2.103000000000000000e+03,5.120000000000000000e+02,2.165162987484600832e+18
2.104000000000000000e+03,5.160000000000007958e+02,2.259271338113273344e+18
2.105000000000000000e+03,5.199999999999984084e+02,2.364612165674463744e+18
2.106000000000000000e+03,5.239999999999992042e+02,2.478295707665041920e+18
2.107000000000000000e+03,5.279999999999978400e+02,2.594549675600088064e+18
2.108000000000000000e+03,5.319999999999985221e+02,2.705283775728824320e+18
2.109000000000000000e+03,5.359999999999971578e+02,2.801249497407730176e+18
2.110000000000000000e+03,5.399999999999971578e+02,2.873454078207670784e+18
2.111000000000000000e+03,5.439999999999962483e+02,2.914438170342589440e+18
2.112000000000000000e+03,5.479999999999997726e+02,2.919136237493732352e+18
2.113000000000000000e+03,5.519999999999987494e+02,2.885222859061148672e+18
2.114000000000000000e+03,5.559999999999984084e+02,2.813010354331587584e+18
2.115000000000000000e+03,5.599999999999995453e+02,2.705047291620186624e+18
2.116000000000000000e+03,5.639999999999980673e+02,2.565571232227245568e+18
2.117000000000000000e+03,5.679999999999986358e+02,2.399926620095486464e+18
2.118000000000000000e+03,5.719999999999970441e+02,2.214011912062330880e+18
2.119000000000000000e+03,5.759999999999974989e+02,2.013794909318435072e+18
2.120000000000000000e+03,5.800000000000025011e+02,1.804932978394074368e+18
2.121000000000000000e+03,5.840000000000023874e+02,1.592538053058589440e+18
2.122000000000000000e+03,5.880000000000022737e+02,1.381114385014683904e+18
2.123000000000000000e+03,5.920000000000025011e+02,1.174660673535345408e+18
2.124000000000000000e+03,5.960000000000009095e+02,9.768754814159618560e+17
2.125000000000000000e+03,6.000000000000018190e+02,7.913570494820428800e+17
2.126000000000000000e+03,6.040000000000022737e+02,6.216706851205306880e+17
2.127000000000000000e+03,6.080000000000026148e+02,4.711876789969413760e+17
2.128000000000000000e+03,6.120000000000032969e+02,3.426836616013122560e+17
2.129000000000000000e+03,6.160000000000013642e+02,2.378022719674992640e+17
2.130000000000000000e+03,6.200000000000017053e+02,1.565924756804189120e+17
2.131000000000000000e+03,6.240000000000018190e+02,9.734750944173558400e+16
2.132000000000000000e+03,6.280000000000003411e+02,5.686989754160504800e+16
2.133000000000000000e+03,6.320000000000002274e+02,3.109794249609483600e+16
2.134000000000000000e+03,6.360000000000007958e+02,1.586557472639813600e+16
2.135000000000000000e+03,6.399999999999997726e+02,7.532197554288783000e+15
2.136000000000000000e+03,6.439999999999994316e+02,3.320906897665119000e+15
2.137000000000000000e+03,6.479999999999996589e+02,1.357767214875074250e+15
2.138000000000000000e+03,6.519999999999977263e+02,5.142928555101567500e+14
2.139000000000000000e+03,6.559999999999984084e+02,1.803847659136094062e+14
2.140000000000000000e+03,6.599999999999980673e+02,5.858339830861677344e+13
2.141000000000000000e+03,6.639999999999969305e+02,1.762371268430356250e+13
2.142000000000000000e+03,6.679999999999979536e+02,4.914707678611812500e+12
2.143000000000000000e+03,6.719999999999978400e+02,1.271895884112609131e+12
2.144000000000000000e+03,6.759999999999986358e+02,3.058835973557670898e+11
2.145000000000000000e+03,6.799999999999989768e+02,6.847010697872614288e+10
2.146000000000000000e+03,6.839999999999985221e+02,1.429009345965289307e+10
2.147000000000000000e+03,6.879999999999972715e+02,2.785701793328052521e+09
2.148000000000000000e+03,6.919999999999965894e+02,5.081282838448563814e+08
2.149000000000000000e+03,6.959999999999973852e+02,8.687565085899166763e+07
2.150000000000000000e+03,6.999999999999960210e+02,1.394477068117118813e+07
